Ref,Status,Design ,Type ,Mode,2024_Outstanding Benefits-RiskScore,2024_Membership, 2024_Total Net Assets ,2024_ExpensesTo TotalAssets Ratio,2024_OUTFLOW/INFLOW - Liquidity Ratio,2024_Overall Risk Score,2024_ReturnOn Investment,2024_UnremmittedContributions/Total Assets,2024_Compliance toTable G,2024_Inflation,2024_interest_rates,2024_exchange_rates,2023_Outstanding Benefits-RiskScore,2023_Membership,2023_Total Net Assets,2023_ExpensesTo TotalAssets Ratio,2023_OUTFLOW/INFLOW - Liquidity Ratio,2023_Overall Risk Score,2023_ReturnOn Investment,2023_UnremmittedContributions/Total Assets,2023_Compliance toTable G,2023_Inflation,2023_interest_rates,2023_exchange_rates,2022_Outstanding Benefits-RiskScore,2022_Membership,2022_Total Net Assets,2022_ExpensesTo TotalAssets Ratio,2022_OUTFLOW/INFLOW - Liquidity Ratio,2022_Overall Risk Score,2022_ReturnOn Investment,2022_UnremmittedContributions/Total Assets,2022_Compliance toTable G,2022_Inflation,2022_interest_rates,2022_exchange_rates,2021_Outstanding Benefits-RiskScore,2021_Membership,2021_Total Net Assets,2021_ExpensesTo TotalAssets Ratio,2021_OUTFLOW/INFLOW - Liquidity Ratio,2021_Overall Risk Score,2021_ReturnOn Investment,2021_UnremmittedContributions/Total Assets,2021_Compliance toTable G,2021_Inflation,2021_interest_rates,2021_exchange_rates,2020_Outstanding Benefits-RiskScore,2020_Membership,2020_Total Net Assets,2020_ExpensesTo TotalAssets Ratio,2020_OUTFLOW/INFLOW - Liquidity Ratio,2020_Overall Risk Score,2020_ReturnOn Investment,2020_UnremmittedContributions/Total Assets,2020_Compliance toTable G,2020_Inflation,2020_interest_rates,2020_exchange_rates,2019_Outstanding Benefits-RiskScore,2019_Membership,2019_Total Net Assets,2019_ExpensesTo TotalAssets Ratio,2019_OUTFLOW/INFLOW - Liquidity Ratio,2019_Overall Risk Score,2019_ReturnOn Investment,2019_UnremmittedContributions/Total Assets,2019_Compliance toTable G,2019_Inflation,2019_interest_rates,2019_exchange_rates,2018_Outstanding Benefits-RiskScore,2018_Membership,2018_Total Net Assets,2018_ExpensesTo TotalAssets Ratio,2018_OUTFLOW/INFLOW - Liquidity Ratio,2018_Overall Risk Score,2018_ReturnOn Investment,2018_UnremmittedContributions/Total Assets,2018_Compliance toTable G,2018_Inflation,2018_interest_rates,2018_exchange_rates,2017_Outstanding Benefits-RiskScore,2017_Membership,2017_Total Net Assets,2017_ExpensesTo TotalAssets Ratio,2017_OUTFLOW/INFLOW - Liquidity Ratio,2017_Overall Risk Score,2017_ReturnOn Investment,2017_UnremmittedContributions/Total Assets,2017_Compliance toTable G,2017_Inflation,2017_interest_rates,2017_exchange_rates,2016_Outstanding Benefits-RiskScore,2016_Membership,2016_Total Net Assets,2016_ExpensesTo TotalAssets Ratio,2016_OUTFLOW/INFLOW - Liquidity Ratio,2016_Overall Risk Score,2016_ReturnOn Investment,2016_UnremmittedContributions/Total Assets,2016_Compliance toTable G,2016_Inflation,2016_interest_rates,2016_exchange_rates,2015_Outstanding Benefits-RiskScore,2015_Membership,2015_Total Net Assets,2015_ExpensesTo TotalAssets Ratio,2015_OUTFLOW/INFLOW - Liquidity Ratio,2015_Overall Risk Score,2015_ReturnOn Investment,2015_UnremmittedContributions/Total Assets,2015_Compliance toTable G,2015_Inflation,2015_interest_rates,2015_exchange_rates,2014_Outstanding Benefits-RiskScore,2014_Membership,2014_Total Net Assets,2014_ExpensesTo TotalAssets Ratio,2014_OUTFLOW/INFLOW - Liquidity Ratio,2014_Overall Risk Score,2014_ReturnOn Investment,2014_UnremmittedContributions/Total Assets,2014_Compliance toTable G,2014_Inflation,2014_interest_rates,2014_exchange_rates
1209,Active,Defined Benefit,Pension Scheme,Segregated funds,5,2526," 3,299,804,168 ",1%,210.33%,2.98,24%,0%,1,4.50%,11%,134.80,5,2471,2870108647,1.09%,10%,3.15,0.40%,0%,1,7%,12.50%,151.77,5,2734,3217121140,1%,22%,4.09,2.43%,0%,1,9.00%,8.80%,121.95,5,2833,3541110636,0.98%,110.06%,3.79,11.35%,0.00%,1,6.00%,7.00%,111.93,0,2950,350344556700.00%,0.94%,79.52%,0,7.22%,0.00%,0,5%,7%,109.51,0,2889,3569275548,0.80%,181.46%,0,16%,0%,0,5.00%,8.50%,102.55,0,3074,3305701718,1%,24%,0,2.12%,0.00%,0,6.00%,9.00%,101.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Active,Defined Contribution,Provident Fund,Guaranteed funds,1,25," 62,471,477 ",0%,668.18%,2.17,11%,0%,1,4.50%,11%,134.80,1,28,52624710,0.53%,2157%,2.49,6.30%,0%,5,7%,12.50%,151.77,1,25,45160939,0%,891%,2.48,7.59%,0%,5,9.00%,8.80%,121.95,1,25,38700996.21,0.46%,2920.85%,2.64,8.76%,0.00%,5,6.00%,7.00%,111.93,0,25,3249743300.00%,0.50%,2528.12%,0,5.45%,0.00%,0,5%,7%,109.51,0,23,28161324,0.44%,3347.01%,0,9%,0%,0,5.00%,8.50%,102.55,0,23,23358446,0%,3059%,0,5.41%,0.00%,0,6.00%,9.00%,101.88,0,23,19967344,0.47%,639.44%,0,9%,0%,0,0.05,0.1,103.37,0,21,16867890,1%,83%,0,8%,0%,0,7.00%,10.00%,101.78,0,18,17560154,1%,372%,0,7%,0%,0,7%,13%,103.78,0,23,15854745,1%,48%,0,17%,0%,0,7%,10%,101.78
1210,Active,Defined Contribution,Provident Fund,Guaranteed funds,1,68," 143,981,639 ",0%,918.71%,2.75,11%,0%,1,4.50%,11%,134.80,1,43,123466911,0.28%,46%,2.32,11.10%,0%,5,7%,12.50%,151.77,1,44,150135003,0%,25%,2.24,10.22%,0%,5,9.00%,8.80%,121.95,1,61,230395640,0.29%,558.59%,2.59,9.74%,0.00%,5,6.00%,7.00%,111.93,0,57,19882514200.00%,0.25%,631.46%,0,8.64%,0.00%,0,5%,7%,109.51,0,56,170535516,0.31%,861.16%,0,10%,0%,0,5.00%,8.50%,102.55,0,50,141264600,0%,2021%,0,8.27%,0.00%,0,6.00%,9.00%,101.88,0,48,116324140,0.58%,1044.58%,0,10%,0%,0,0.05,0.1,103.37,0,44,91511792,1%,404%,0,10%,0%,0,7.00%,10.00%,101.78,0,41,76355773,0%,377%,0,10%,0%,0,7%,13%,103.78,0,41,64999864,0%,564%,0,13%,0%,0,7%,10%,101.78
1211,Active,Defined Benefit,Pension Scheme,Segregated funds,5,102," 703,420,692 ",1%,414.24%,3.77,14%,0%,1,4.50%,11%,134.80,1,104,626793593,1.41%,168%,3.1,7.34%,0%,1,7%,12.50%,151.77,5,106,605824802,2%,87%,3.85,2.64%,0%,1,9.00%,8.80%,121.95,5,109,609239721,1.30%,442.74%,4.31,12.68%,0.00%,1,6.00%,7.00%,111.93,0,111,54408527200.00%,1.36%,318.52%,0,7.51%,0.00%,0,5%,7%,109.51,0,111,511435294,1.74%,285.26%,0,10%,0%,0,5.00%,8.50%,102.55,0,111,474958033,1%,384%,0,12.41%,0.00%,0,6.00%,9.00%,101.88,0,111,426139243,1.43%,500.84%,0,14%,0%,0,0.05,0.1,103.37,0,113,372594011,3%,139%,0,4%,0%,0,7.00%,10.00%,101.78,0,111,365900913,2%,498%,0,10%,0%,0,7%,13%,103.78,0,26,331574327,1%,274%,0,10%,0%,0,7%,10%,101.78
1213,Active,Defined Contribution,Provident Fund,Segregated funds,1,75," 175,896,576 ",2%,529.53%,3.29,25%,0%,1,4.50%,11%,134.80,1,76,133179663,2.64%,89%,3.23,0.02%,0%,1,7%,12.50%,151.77,1,79,134299029,2%,190%,3.23,3.25%,0%,1,9.00%,8.80%,121.95,1,77,128016661,2.14%,176.18%,3.48,11.16%,0.00%,1,6.00%,7.00%,111.93,0,75,11850931000.00%,1.47%,620.76%,0,5.49%,0.00%,0,5%,7%,109.51,0,75,107677623,2.22%,198.97%,0,14%,0%,0,5.00%,8.50%,102.55,0,64,97157204,2%,100%,0,4.89%,0.00%,0,6.00%,9.00%,101.88,0,79,97116246,2.30%,226.42%,0,17%,0%,0,0.05,0.1,103.37,0,81,84936265,2%,279%,0,7%,0%,0,7.00%,10.00%,101.78,0,82,77260493,2%,208%,0,2%,0%,0,7%,13%,103.78,0,72,73911490,2%,169%,0,13%,0%,0,7%,10%,101.78
1214,Active,Defined Contribution,Provident Fund,Guaranteed funds,1,35," 44,781,273 ",0%,3567.14%,2.05,9%,0%,1,4.50%,11%,134.80,1,34,38310829,0.60%,16915%,2.48,94.12%,0%,5,7%,12.50%,151.77,1,32,32166305,0%,3069%,2.48,9.24%,0%,5,9.00%,8.80%,121.95,1,42,27300741,0.59%,2900.22%,2.64,10.16%,0.00%,5,6.00%,7.00%,111.93,0,32,2278078600.00%,0.82%,2252.21%,0,9.32%,0.00%,0,5%,7%,109.51,0,31,18753954,0.84%,532.35%,0,10%,0%,0,5.00%,8.50%,102.55,0,41,16215761,1%,608%,0,8.42%,0.00%,0,6.00%,9.00%,101.88,0,0,14107462,0.81%,1914.76%,0,8%,0%,0,0.05,0.1,103.37,0,0,12068464,1%,150%,0,3%,0%,0,7.00%,10.00%,101.78,0,0,11611138,1%,45%,0,2%,0%,0,7%,13%,103.78,0,30,12976044,1%,115%,0,7%,0%,0,7%,10%,101.78
1215,Active,Defined Contribution,Pension Scheme,Segregated funds,5,8033," 23,032,817,000 ",2%,426.22%,4.07,18%,0%,1,4.50%,11%,134.80,1,7797,17960808000,2.13%,195%,3.13,0.92%,0%,5,7%,12.50%,151.77,1,7449,16740505000,2%,135%,2.19,-3.36%,0%,5,9.00%,8.80%,121.95,5,6440,16344121953,0.84%,185.48%,3.5,-3.71%,0.00%,5,6.00%,7.00%,111.93,0,6270,1581065400000.00%,0.53%,417.91%,0,-0.14%,0.00%,0,5%,7%,109.51,0,6251,14572147000,0.60%,1281.14%,0,10%,0%,0,5.00%,8.50%,102.55,0,6027,11812186000,1%,306%,0,1.40%,0.00%,0,6.00%,9.00%,101.88,0,5703,10748748430,0.79%,712.41%,0,13%,0%,0,0.05,0.1,103.37,0,5556,8475005734,0%,656%,0,7%,0%,0,7.00%,10.00%,101.78,0,5234,7029316912,1%,248%,0,0%,0%,0,7%,13%,103.78,,,,,,,,,,,,
1216,Active,Defined Contribution,Pension Scheme,Guaranteed funds,1,102," 519,891,014 ",0%,152.43%,1.37,11%,0%,1,4.50%,11%,134.80,1,96,489121749,0.00%,134%,2.25,9.06%,0%,5,7%,12.50%,151.77,1,113,462627213,0%,782%,2.25,5.79%,0%,5,9.00%,8.80%,121.95,1,114,400250492,0.00%,270.04%,2.61,8.31%,0.00%,5,6.00%,7.00%,111.93,0,120,34887559900.00%,0.00%,1235.11%,0,7.06%,0.00%,0,5%,7%,109.51,0,149,291024480,0.00%,614.79%,0,9%,0%,0,5.00%,8.50%,102.55,0,151,242551418,0%,228%,0,8.27%,0.00%,0,6.00%,9.00%,101.88,0,97,216394074,0.00%,239.19%,0,9%,0%,0,0.05,0.1,103.37,0,82,190217672,0%,287%,0,8%,0%,0,7.00%,10.00%,101.78,0,85,164185734,0%,253%,0,7%,0%,0,7%,13%,103.78,0,109,143948097,0%,165%,0,11%,0%,0,7%,10%,101.78
1218,Active,Defined Contribution,Provident Fund,Guaranteed funds,1,598," 857,591,251 ",1%,298.54%,3.01,9%,0%,1,4.50%,11%,134.80,5,464,754944466,0.55%,266%,2.94,10.00%,0%,5,7%,12.50%,151.77,1,472,673367320,1%,263%,2.14,9.64%,0%,5,9.00%,8.80%,121.95,5,485,600174242,0.75%,354.57%,3.33,9.60%,0.00%,5,6.00%,7.00%,111.93,0,500,51910021700.00%,0.52%,428.14%,0,9.37%,0.00%,0,5%,7%,109.51,0,489,440525538,0.63%,230.76%,0,10%,0%,0,5.00%,8.50%,102.55,0,498,385570588,1%,395%,0,9.84%,0.00%,0,6.00%,9.00%,101.88,0,493,317222319,0.41%,499.09%,0,10%,0%,0,0.05,0.1,103.37,0,268,252639687,0%,453%,0,10%,0%,0,7.00%,10.00%,101.78,0,189,197460337,0%,186%,0,12%,0%,0,7%,13%,103.78,0,224,167710019,0%,338%,0,12%,0%,0,7%,10%,101.78
1221,Active,Defined Contribution,Provident Fund,Guaranteed funds,1,47," 51,143,398 ",0%,2555.15%,2.24,8%,0%,1,4.50%,11%,134.80,1,50,44471542,0.30%,2817%,2.46,9.61%,0%,5,7%,12.50%,151.77,1,47,37815851,0%,161%,2.46,8.50%,0%,5,9.00%,8.80%,121.95,1,52,35903539,0.26%,815.72%,3.52,8.41%,0.00%,5,6.00%,7.00%,111.93,0,45,3103156900.00%,0.31%,348.45%,0,8.26%,0.00%,0,5%,7%,109.51,0,47,27462141,0.31%,363.48%,0,9%,0%,0,5.00%,8.50%,102.55,0,44,23912745,0%,2519%,0,9.73%,0.00%,0,6.00%,9.00%,101.88,0,48,19571392,0.34%,812.99%,0,10%,0%,0,0.05,0.1,103.37,0,40,16198684,0%,1290%,0,10%,0%,0,7.00%,10.00%,101.78,0,34,12990146,1%,3839%,0,12%,0%,0,7%,13%,103.78,0,30,9904046,0%,329%,0,12%,0%,0,7%,10%,101.78
1223,Active,Defined Contribution,Pension Scheme,Guaranteed funds,1,83," 10,494,404 ",0%,1676.08%,2.47,9%,0%,1,4.50%,11%,134.80,1,80,8628861,0.60%,60%,2.56,0.60%,0%,5,7%,12.50%,151.77,1,27,9312266,1%,76%,2.56,1.79%,0%,5,9.00%,8.80%,121.95,1,0,9609951.29,0.20%,589.87%,2.8,3.75%,0.00%,5,6.00%,7.00%,111.93,0,0,887340600.00%,0.20%,59.42%,0,1.96%,0.00%,0,5%,7%,109.51,0,0,9244505,0.20%,107.36%,0,7%,0%,0,5.00%,8.50%,102.55,0,0,9146963,0%,258%,0,1.27%,0.00%,0,6.00%,9.00%,101.88,0,0,8598120,0.82%,111.40%,0,7%,0%,0,0.05,0.1,103.37,0,0,8456765,0%,91%,0,3%,0%,0,7.00%,10.00%,101.78,0,0,8545256,0%,1002%,0,2%,0%,0,7%,13%,103.78,0,0,7797903,1%,240%,0,7%,0%,0,7%,10%,101.78
1225,Active,Defined Contribution,Provident Fund,Guaranteed funds,1,259," 106,667,220 ",1%,761.24%,2.2,10%,0%,1,4.50%,11%,134.80,1,263,91072506,0.24%,340%,2.53,8.93%,0%,5,7%,12.50%,151.77,1,262,80586268,0%,410%,2.45,5.93%,0%,5,9.00%,8.80%,121.95,1,341,71954800,0.20%,111.65%,2.72,8.72%,0.00%,5,6.00%,7.00%,111.93,0,246,7067449800.00%,0.20%,238.10%,0,7.48%,0.00%,0,5%,7%,109.51,0,249,66013910,0.41%,419.50%,0,9%,0%,0,5.00%,8.50%,102.55,0,242,55723422,0%,469%,0,7.81%,0.00%,0,6.00%,9.00%,101.88,0,125,46768449,0.20%,1245.29%,0,8%,0%,0,0.05,0.1,103.37,0,289,36766786,0%,352%,0,8%,0%,0,7.00%,10.00%,101.78,0,217,30346835,0%,249%,0,7%,0%,0,7%,13%,103.78,0,197,26198913,0%,486%,0,10%,0%,0,7%,10%,101.78
1228,Active,Defined Contribution,Provident Fund,Guaranteed funds,1,45," 75,602,371 ",1%,764.46%,3.03,10%,0%,1,4.50%,11%,134.80,1,43,64587173,0.26%,49%,3.26,9.38%,0%,5,7%,12.50%,151.77,1,43,75693768,0%,1102%,3.26,5.88%,0%,5,9.00%,8.80%,121.95,1,35,67026700,0.24%,380.02%,3.52,8.25%,0.00%,5,6.00%,7.00%,111.93,0,32,5927444400.00%,0.25%,69.23%,0,7.02%,0.00%,0,5%,7%,109.51,0,32,63272757,0.29%,1629.31%,0,9%,1%,0,5.00%,8.50%,102.55,0,41,53598117,0%,731%,0,7.95%,0.00%,0,6.00%,9.00%,101.88,0,42,45999390,0.26%,1559.96%,0,9%,0%,0,0.05,0.1,103.37,0,41,38214292,0%,1926%,0,8%,0%,0,7.00%,10.00%,101.78,0,39,31694155,0%,598%,0,7%,0%,0,7%,13%,103.78,0,35,27046985,0%,436%,0,10%,0%,0,7%,10%,101.78
1229,Active,Defined Contribution,Provident Fund,Segregated funds,1,194," 523,744,373 ",2%,604.66%,3.4,10%,0%,1,4.50%,11%,134.80,1,203,458412155,2.24%,40%,3.31,0.32%,0%,1,7%,12.50%,151.77,1,200,496623213,3%,136%,3.23,3.22%,0%,1,9.00%,8.80%,121.95,1,205,486587566,1.95%,246.82%,3.48,11.30%,0.00%,1,6.00%,7.00%,111.93,0,203,44156132700.00%,1.56%,234.58%,0,6.28%,0.00%,0,5%,7%,109.51,0,214,414812331,1.63%,533.89%,0,14%,0%,0,5.00%,8.50%,102.55,0,211,352489746,2%,172%,0,5.66%,0.00%,0,6.00%,9.00%,101.88,0,222,337358324,1.86%,516.11%,0,16%,0%,0,0.05,0.1,103.37,0,205,283527795,2%,213%,0,9%,0%,0,7.00%,10.00%,101.78,0,191,264176614,2%,92%,0,3%,0%,0,7%,13%,103.78,0,198,265917935,2%,412%,0,13%,0%,0,7%,10%,101.78
1230,Active,Defined Contribution,Pension Scheme,Guaranteed funds,1,342," 253,030,102 ",1%,316.15%,2.18,11%,0%,1,4.50%,11%,134.80,5,0,216610715,0.23%,194%,3.21,9.17%,0%,5,7%,12.50%,151.77,1,321,194773007,0%,99%,2.36,6.36%,0%,5,9.00%,8.80%,121.95,1,0,195005408,0.25%,130.49%,2.72,8.59%,0.00%,5,6.00%,7.00%,111.93,0,370,18732006500.00%,0.21%,126.02%,0,7.81%,0.00%,0,5%,7%,109.51,0,432,180263446,0.24%,279.17%,0,8%,0%,0,5.00%,8.50%,102.55,0,418,154379106,0%,373%,0,6.00%,0.00%,0,6.00%,9.00%,101.88,0,386,130879303,0.28%,377.09%,0,7%,0%,0,0.05,0.1,103.37,0,0,109066891,0%,402%,0,3%,0%,0,7.00%,10.00%,101.78,0,0,90986182,0%,107%,0,2%,0%,0,7%,13%,103.78,0,221,89697274,0%,437%,0,6%,0%,0,7%,10%,101.78
1232,Active,Defined Contribution,Provident Fund,Segregated funds,1,1195," 2,911,199,079 ",1%,109.27%,2.03,6%,0%,1,4.50%,11%,134.80,1,1215,2877381101,0.80%,120%,1.54,5.25%,0%,1,7%,12.50%,151.77,1,1198,2819783718,2%,224%,2.34,8.03%,0%,1,9.00%,8.80%,121.95,1,1406,2589077933,0.99%,345.32%,3.48,12.42%,0.00%,1,6.00%,7.00%,111.93,0,1297,223218167800.00%,0.90%,185.49%,0,5.88%,0.00%,0,5%,7%,109.51,0,1347,2093444080,0.87%,167.88%,0,4%,0%,0,5.00%,8.50%,102.55,0,1362,1993544929,1%,563%,0,18.44%,0.00%,0,6.00%,9.00%,101.88,0,791,1568667904,0.78%,155.81%,0,6%,0%,0,0.05,0.1,103.37,0,742,1487856505,1%,112%,0,1%,0%,0,7.00%,10.00%,101.78,0,826,1472317605,1%,191%,0,14%,0%,0,7%,13%,103.78,0,873,1318127349,1%,491%,0,14%,0%,0,7%,10%,101.78
1233,Active,Defined Contribution,Provident Fund,Guaranteed funds,1,64," 87,564,387 ",1%,815.88%,2.05,10%,0%,1,4.50%,11%,134.80,1,63,73557156,0.41%,665%,2.43,8.81%,0%,5,7%,12.50%,151.77,1,57,62486615,1%,1273%,2.43,5.85%,0%,5,9.00%,8.80%,121.95,1,25,54544441,0.39%,3741.03%,2.64,8.15%,0.00%,5,6.00%,7.00%,111.93,0,53,4551903000.00%,0.42%,2359.20%,0,7.05%,0.00%,0,5%,7%,109.51,0,55,37947630,0.40%,4640.59%,0,9%,0%,0,5.00%,8.50%,102.55,0,55,30429419,1%,334%,0,8.05%,0.00%,0,6.00%,9.00%,101.88,0,56,26441337,0.59%,467.08%,0,9%,0%,0,0.05,0.1,103.37,0,52,22235272,1%,266%,0,8%,0%,0,7.00%,10.00%,101.78,0,49,19422833,1%,1518%,0,7%,0%,0,7%,13%,103.78,0,218,15450185,1%,2291%,0,10%,0%,0,7%,10%,101.78
1237,Active,Defined Contribution,Pension Scheme,Guaranteed funds,1,990," 991,712,231 ",0%,104.42%,1.42,13%,0%,1,4.50%,11%,134.80,1,995,981982832,0.19%,113%,2.51,4.91%,0%,5,7%,12.50%,151.77,1,971,965598898,0%,147%,2.46,7.86%,0%,5,9.00%,8.80%,121.95,1,976,910284929,0.29%,153.53%,2.64,7.76%,0.00%,5,6.00%,7.00%,111.93,0,966,85247818600.00%,0.16%,272.58%,0,6.52%,0.00%,0,5%,7%,109.51,0,937,755523221,0.20%,295.58%,0,8%,0%,0,5.00%,8.50%,102.55,0,900,652856534,0%,145%,0,6.16%,0.00%,0,6.00%,9.00%,101.88,0,1454,610450606,0.20%,306.76%,0,10%,0%,0,0.05,0.1,103.37,0,1569,498028673,0%,355%,0,7%,0%,0,7.00%,10.00%,101.78,0,1555,395512327,0%,480%,0,7%,0%,0,7%,13%,103.78,0,1312,313060377,0%,312%,0,10%,0%,0,7%,10%,101.78
1239,Active,Defined Contribution,Pension Scheme,Guaranteed funds,1,180," 904,626,349 ",0%,416.76%,2.05,10%,0%,1,4.50%,11%,134.80,1,155,743337118,0.38%,146%,2.09,9.77%,0%,5,7%,12.50%,151.77,1,154,693171210,0%,479%,2.34,8.37%,0%,5,9.00%,8.80%,121.95,1,162,580735164,0.21%,195.60%,2.64,8.91%,0.00%,5,6.00%,7.00%,111.93,0,147,51720282100.00%,0.21%,8455.44%,0,7.58%,0.00%,0,5%,7%,109.51,0,115,412685528,0.21%,173.21%,0,9%,0%,0,5.00%,8.50%,102.55,0,104,374667076,0%,346%,0,7.20%,0.00%,0,6.00%,9.00%,101.88,0,97,313358583,0.50%,1166.94%,0,9%,0%,0,0.05,0.1,103.37,0,79,236583333,0%,3516%,0,6%,0%,0,7.00%,10.00%,101.78,0,72,176478056,0%,3804%,0,4%,0%,0,7%,13%,103.78,0,69,134348676,0%,938%,0,7%,0%,0,7%,10%,101.78
1240,Active,Defined Contribution,Pension Scheme,Guaranteed funds,1,4447," 1,673,465,578 ",0%,158.29%,2.19,5%,0%,1,4.50%,11%,134.80,1,4257,1545809835,0.20%,259%,2.43,10.83%,0%,5,7%,12.50%,151.77,1,3589,1148238473,0%,264%,2.5,4.10%,0%,5,9.00%,8.80%,121.95,1,3303,853272682,0.00%,356.50%,2.72,4.33%,0.00%,5,6.00%,7.00%,111.93,0,1658,51656504800.00%,0.00%,312.19%,0,4.16%,0.00%,0,5%,7%,109.51,0,1133,323740580,0.00%,331.66%,0,4%,0%,0,5.00%,8.50%,102.55,0,741,198295504,0%,318%,0,4.17%,0.00%,0,6.00%,9.00%,101.88,0,994,154725607,0.00%,232.00%,0,4%,0%,0,0.05,0.1,103.37,0,936,119710847,0%,127%,0,5%,0%,0,7.00%,10.00%,101.78,0,831,108477044,0%,243%,0,4%,0%,0,7%,13%,103.78,0,793,77268537,0%,234%,0,10%,0%,0,7%,10%,101.78
1241,Active,Defined Contribution,Provident Fund,Guaranteed funds,5,191," 236,680,716 ",1%,177.16%,3.1,11%,0%,1,4.50%,11%,134.80,5,173,213131902,0.59%,125%,3.14,9.80%,0%,5,7%,12.50%,151.77,5,0,203858096,1%,710%,3.22,8.31%,0%,5,9.00%,8.80%,121.95,5,156,171256999.5,0.70%,129.50%,3.52,9.37%,0.00%,5,6.00%,7.00%,111.93,0,145,16324837900.00%,0.61%,468.08%,0,7.81%,0.00%,0,5%,7%,109.51,0,142,137892940,0.63%,216.63%,0,9%,0%,0,5.00%,8.50%,102.55,0,119,123443414,1%,181%,0,7.44%,0.00%,0,6.00%,9.00%,101.88,0,124,114121256,0.68%,285.82%,0,13%,0%,0,0.05,0.1,103.37,0,123,97834293,1%,95%,0,9%,0%,0,7.00%,10.00%,101.78,0,50,98753252,1%,136%,0,6%,0%,0,7%,13%,103.78,0,0,93147111,1%,70%,0,12%,0%,0,7%,10%,101.78
1242,Active,Defined Contribution,Provident Fund,Guaranteed funds,1,31," 6,628,318 ",1%,228.39%,2.52,10%,0%,1,4.50%,11%,134.80,1,33,5863572,0.67%,1029%,2.56,8.58%,0%,5,7%,12.50%,151.77,1,32,4751732,1%,96%,2.56,7.36%,0%,5,9.00%,8.80%,121.95,1,30,4785644,0.48%,192.72%,2.8,9.90%,0.00%,5,6.00%,7.00%,111.93,0,30,432355400.00%,0.68%,159.29%,0,7.50%,0.00%,0,5%,7%,109.51,0,31,4095510,0.68%,2537.97%,0,9%,0%,0,5.00%,8.50%,102.55,0,24,3414293,1%,219%,0,9.18%,0.00%,0,6.00%,9.00%,101.88,0,44,3104715,0.81%,1878.59%,0,9%,0%,0,0.05,0.1,103.37,0,20,2658058,1%,66%,0,7%,0%,0,7.00%,10.00%,101.78,0,21,2856052,1%,1827%,0,5%,0%,0,7%,13%,103.78,0,0,2551467,1%,2877%,0,10%,0%,0,7%,10%,101.78
1243,Active,Defined Contribution,Pension Scheme,Guaranteed funds,1,331," 43,631,697 ",2%,80.97%,3.45,11%,1%,1,4.50%,11%,134.80,1,320,45246080,1.68%,121%,3.01,9.69%,2%,5,7%,12.50%,151.77,1,357,44074895,1%,78%,3.18,7.34%,0%,5,9.00%,8.80%,121.95,1,383,45687609,2.16%,78.32%,3.34,10.31%,0.00%,5,6.00%,7.00%,111.93,0,362,4797946500.00%,1.00%,385.65%,0,7.35%,0.00%,0,5%,7%,109.51,0,267,43642797,1.20%,82.64%,0,9%,0%,0,5.00%,8.50%,102.55,0,214,45296696,2%,277%,0,7.94%,0.00%,0,6.00%,9.00%,101.88,0,212,40671632,1.03%,183.10%,0,8%,0%,0,0.05,0.1,103.37,0,210,37873496,1%,240%,0,5%,0%,0,7.00%,10.00%,101.78,0,226,34616004,1%,111%,0,2%,0%,0,7%,13%,103.78,,,,,,,,,,,,
1246,Active,Defined Contribution,Pension Scheme,Segregated funds,5,206," 708,046,198 ",1%,331.14%,4.09,22%,0%,1,4.50%,11%,134.80,1,205,546429596,1.22%,180%,3.26,-1.14%,0%,1,7%,12.50%,151.77,1,203,515800319,1%,77%,3.94,1.20%,0%,1,9.00%,8.80%,121.95,5,227,539496300,1.22%,216.04%,4.32,12.20%,0.00%,1,6.00%,7.00%,111.93,0,235,45513341800.00%,1.36%,175.64%,0,6.05%,0.00%,0,5%,7%,109.51,0,217,400662038,1.86%,422.54%,0,16%,0%,0,5.00%,8.50%,102.55,0,199,278000479,2%,171%,0,3.07%,0.00%,0,6.00%,9.00%,101.88,0,0,242004500,1.68%,299.33%,0,12%,0%,0,0.05,0.1,103.37,0,107,183365716,2%,620%,0,7%,0%,0,7.00%,10.00%,101.78,0,90,132717986,1%,754%,0,7%,0%,0,7%,13%,103.78,0,53,93209455,0%,259%,0,10%,0%,0,7%,10%,101.78
1248,Active,Defined Contribution,Provident Fund,Guaranteed funds,1,22," 33,069,007 ",0%,374.22%,2.32,10%,0%,1,4.50%,11%,134.80,1,23,28200492,0.44%,748%,3.36,8.71%,0%,5,7%,12.50%,151.77,1,16,23652242,1%,1033%,2.56,5.81%,0%,5,9.00%,8.80%,121.95,1,17,20218421,0.16%,2714.05%,2.8,8.03%,0.00%,5,6.00%,7.00%,111.93,0,16,1666746700.00%,0.22%,64.23%,0,8.54%,0.00%,0,5%,7%,109.51,0,20,18714042,0.18%,181.47%,0,9%,0%,0,5.00%,8.50%,102.55,0,17,16868745,0%,8373%,0,7.69%,0.00%,0,6.00%,9.00%,101.88,0,7,13533406,0.39%,5452.99%,0,8%,0%,0,0.05,0.1,103.37,0,7,10699159,0%,12884%,0,8%,0%,0,7.00%,10.00%,101.78,0,13,8521104,0%,8764%,0,7%,0%,0,7%,13%,103.78,,,,,,,,,,,,
