ID,Start time,Completion time,Email,Name,Last modified time,GENDER ,AGE RANGE,DURATION OF EMPLOYMENT ,(a)I understand RBA's strategic goals ,(b) I understand how my roles meets the Authority’s objectives ,(a) Teamwork/good cooperation between employees at RBA ,"(b) Adequacy, timeliness, and clarity of communication at RBA ",(c) Extent to which upward communication is encouraged at RBA ,(d) How well do HODs demonstrate strong leadership skills ,(e) The relationship with your supervisor ,(f) The balance between your work life and personal life ,(g) Fairness and Justice towards administering policies concerning employees at RBA ,(h) Match between the job you do with your qualifications and knowledge ,(i) How job promotions are carried out at RBA ,(j) Recruitment and Talent Acquisition,(k) Staff Disciplinary Procedures ,(l) Internal Conflict Resolution Procedures ,(m) Performance Management Framework  ,(n) Training opportunities availed to you ,"(o) Compensation (pay, Salary & rewards) ",(p) Employee benefits and  welfare,(q) Workload at RBA ,"Which specific areas do you suggest that RBA should put more emphasis on, in promoting the satisfaction of its employees? ",Do you have all the tools and resources needed for your job at RBA?,Specify the tools or resources you lack,(a) Adequate measures are in place to ensure employee safety at RBA ,(b) Adequate measures are in place to ensure the security of both staff and the organization's assets,(c) Suitability of RBA’s workspaces/workstations in facilitating work performance ,(d) Adequacy and quality of stationery for work performance ,"(e) Adequacy and comfort of seats, desks, and other furniture at RBA ","(f) Adequacy of amenities provided e.g., drinking water, kitchen, bathroom, parking ","(g) Adequacy of communication facilities e.g., emails, telephone lines, and extensions ","(h) Suitability of the common areas e.g., reception, boardroom, and waiting rooms ",(i) Availability and sufficiency of vehicles for official use ,"Are there any specific features or functionalities you feel are lacking in the current information systems, network, and infrastructure at RBA? ",Which features or functionalities are missing?,(a) Usability of the company's information systems for your daily tasks,(b) Reliability of the company's information systems in terms of uptime and performance,(c) Responsiveness and technical support when you encounter issues with the information systems,(d) The training and resources provided for using the information systems effectively,(e) The security measures implemented in the company's information systems for protecting sensitive data,(f) Availability of desktop computers and laptops for work-related duties,"(a) When I’m at work, I am completely focused on my job duties ","(b) At work, I have the opportunity to do what I do best everyday","(c) Compared to other companies that I know, RBA is one of the best companies to work for  ",(d) I am willing to go out of my way to get my work done and achieve my objectives,(e) I am encouraged to initiate change when I see a better way of doing things,(f) At work my opinions seem to count,(g) At work there is someone who encourages my development ,Do you plan to be working for RBA in the next 3-5 years ,"What key factors would encourage you to remain at RBA for the long term?
",(a) I understand what my job entails in my current position ,(b) I have the skills required for my current job position. ,(c) Management is preparing employees for future leadership roles ,(d) New hires are effectively hired and onboarded to the team ,(e) My department is adequately staffed ,(f) There is a strong pipeline of talent in my department ,What skills do you think you require in the next 3- 5 Years? ,Do you experience any knowledge and skills-related challenges in carrying out your duties and responsibilities? ,"Please list any duties and responsibilities that are difficult to perform due to your inadequate knowledge and skills? 
",What other challenges (non-skills and knowledge related) affect the performance of your duties and responsibilities? ,(a) Fairness,(b) Integrity,(c) Agility,(d) Team Spirit,(e) Customer Focus,(f) Analytical Thinking,Would you say that you are ready for an appointment to a higher position at RBA?,Why do you feel that you are not ready for appointment to a higher position at RBA,There are individuals ready to assume higher level responsibilities in my department,"(a) RBA involves staff during strategy planning, development, and implementation",(b) My performance objectives and targets are clear and aligned with the Departmental and Corporate objectives,"(c) RBA’s Human Resource Policies, organization structure, and career guidelines support the delivery of the Authority’s mandate","(d) RBA has a well-designed performance management framework used for establishing individual performance expectations, evaluation, and recognition",(e) RBA offers cross-training of employees to enhance their readiness for different roles,(f) I have all the information I need to take up responsibilities at a higher level,(g) RBA has a clear approval and reporting procedures which are adhered to ,"How likely are you to recommend RBA as a great place to work to a friend or colleague? 
 (Scale: 0 = Not Likely at All, 10 = Extremely Likely)"
30,6/9/25 9:22:24,6/9/25 9:48:06,anonymous,,,Female,,,5. Strongly Agree,5. Strongly Agree,4. Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,4. Satisfied,3. Neutral,4. Satisfied,5. Highly Satisfied,Timely purchase and replacement of damaged machines,No,Laptop,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,4. Satisfied,3. Neutral,3. Neutral,4. Satisfied,3. Neutral,3. Neutral,No,,5. Highly satisfied,5. Highly satisfied,5. Highly satisfied,5. Highly satisfied,5. Highly satisfied,1. Highly dissatisfied,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,Yes,Working Environment,5. Strongly Agree,5. Strongly Agree,3. Neither Agree nor Disagree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,"Effective communication skills
Leadership Skills
",No,,n/a,5. Always,5. Always,5. Always,5. Always,5. Always,5. Always,Yes,,,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,8
31,6/9/25 9:46:09,6/9/25 9:50:28,anonymous,,,Male ,30-39,Less than 5 years,4. Agree,5. Strongly Agree,3. Neutral,4. Satisfied,4. Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,4. Satisfied,5. Highly Satisfied,5. Highly Satisfied,4. Satisfied,5. Highly Satisfied,4. Satisfied,5. Highly Satisfied,3. Neutral,4. Satisfied,4. Satisfied,3. Neutral,Availing equal opportunities to all staff,No,Proper working laptops,5. Highly Satisfied,5. Highly Satisfied,4. Satisfied,2. Dissatisfied,3. Neutral,4. Satisfied,2. Dissatisfied,3. Neutral,2. Dissatisfied,Yes,Data sharing and collaborating facilities,3. Neutral,4. Satisfied,5. Highly satisfied,3. Neutral,4. Satisfied,1. Highly dissatisfied,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,Yes,Availability of opportunities for skill development,4. Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,3. Neither Agree nor Disagree,4. Agree,"1. Data management and presentation
2. Artificial intelligence and its applications in the industry
3. Report preparation",No,,,4. Often,5. Always,4. Often,5. Always,5. Always,5. Always,Yes,,,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,5. Strongly Agree,8
32,6/9/25 9:51:17,6/9/25 10:06:01,anonymous,,,Male ,30-39,Less than 5 years,5. Strongly Agree,5. Strongly Agree,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,5. Highly Satisfied,4. Satisfied,4. Satisfied,5. Highly Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,3. Neutral,5. Highly Satisfied,5. Highly Satisfied,4. Satisfied,Training Opportunities should be equally distributed,Yes,,3. Neutral,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,4. Satisfied,No,,4. Satisfied,4. Satisfied,5. Highly satisfied,3. Neutral,4. Satisfied,4. Satisfied,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,3. Neither Agree nor Disagree,Yes,Remuneration and Compensation ,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,Management and Leadership Skills,No,,Each and every staff especially those with less than 5 years in the Authority should be assigned a mentor,5. Always,5. Always,4. Often,4. Often,5. Always,5. Always,Yes,,,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,2. Disagree,4. Agree,4. Agree,9
33,6/9/25 9:49:36,6/9/25 10:24:16,anonymous,,,Male ,40-50,More than 10 years,5. Strongly Agree,5. Strongly Agree,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,4. Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,N/A,Yes,,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,No,,5. Highly satisfied,5. Highly satisfied,5. Highly satisfied,5. Highly satisfied,5. Highly satisfied,5. Highly satisfied,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,Yes,"Medical cover, morgage,car loans ",5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,N/A,No,,N/A,5. Always,5. Always,5. Always,5. Always,5. Always,5. Always,Yes,,,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,10
34,6/9/25 10:27:06,6/9/25 10:28:26,anonymous,,,Male ,20-29 ,Less than 5 years,5. Strongly Agree,5. Strongly Agree,4. Satisfied,5. Highly Satisfied,4. Satisfied,4. Satisfied,5. Highly Satisfied,4. Satisfied,4. Satisfied,5. Highly Satisfied,4. Satisfied,5. Highly Satisfied,4. Satisfied,4. Satisfied,5. Highly Satisfied,4. Satisfied,4. Satisfied,5. Highly Satisfied,4. Satisfied,Capacity building,Yes,,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,4. Satisfied,3. Neutral,4. Satisfied,5. Highly Satisfied,5. Highly Satisfied,4. Satisfied,No,,4. Satisfied,4. Satisfied,4. Satisfied,3. Neutral,4. Satisfied,4. Satisfied,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,Yes,Increased pension coverage in the country will motivate me more.,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,3. Neither Agree nor Disagree,5. Strongly Agree,Leadership skills ,No,,,5. Always,5. Always,5. Always,5. Always,5. Always,5. Always,No,Time frame and also not yet attained the required qualifications spelt out in the HR Manual,1 Very Confident ,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,10
35,6/9/25 10:26:15,6/9/25 10:41:28,anonymous,,,Male ,20-29 ,Less than 5 years,5. Strongly Agree,4. Agree,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,4. Satisfied,5. Highly Satisfied,5. Highly Satisfied,4. Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,4. Satisfied,"Increased training in data analytics, policy analysis and modeling relating to pension industry",Yes,,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,4. Satisfied,4. Satisfied,No,,5. Highly satisfied,5. Highly satisfied,5. Highly satisfied,4. Satisfied,5. Highly satisfied,3. Neutral,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,Yes,Inclusivity and professionalism nature of RBA ,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,Forecasting and modelling skills related to pension industry,No,,None,5. Always,5. Always,5. Always,5. Always,5. Always,5. Always,Yes,,,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,10
36,6/9/25 10:40:33,6/9/25 11:00:34,anonymous,,,Male ,51-60,More than 10 years,5. Strongly Agree,5. Strongly Agree,4. Satisfied,4. Satisfied,3. Neutral,4. Satisfied,3. Neutral,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,3. Neutral,3. Neutral,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,Benefits and welfare ,Yes,,5. Highly Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,,4. Satisfied,4. Satisfied,4. Satisfied,,No,,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,3. Neutral,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,3. Neither Agree nor Disagree,4. Agree,Yes,Benefits like loans ,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,None,No,,Supervisor should  well trained to listen  the options of others ,5. Always,5. Always,5. Always,5. Always,5. Always,4. Often,No,Positions are  few,4 Not Very Confident ,4. Agree,4. Agree,4. Agree,3. Neither Agree nor Disagree,4. Agree,4. Agree,4. Agree,9
37,6/9/25 11:14:35,6/9/25 11:25:34,anonymous,,,Male ,40-50,More than 10 years,5. Strongly Agree,5. Strongly Agree,4. Satisfied,4. Satisfied,4. Satisfied,3. Neutral,3. Neutral,4. Satisfied,3. Neutral,5. Highly Satisfied,3. Neutral,3. Neutral,3. Neutral,3. Neutral,3. Neutral,3. Neutral,3. Neutral,5. Highly Satisfied,5. Highly Satisfied,Succession Management ,Yes,,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,5. Highly Satisfied,5. Highly Satisfied,3. Neutral,No,,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,4. Agree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,Yes,Job Satisfaction ,5. Strongly Agree,5. Strongly Agree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,Leadership skills ,No,,Working tools -Laptops ,5. Always,5. Always,5. Always,5. Always,5. Always,5. Always,Yes,,,5. Strongly Agree,5. Strongly Agree,4. Agree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,5. Strongly Agree,3. Neither Agree nor Disagree,7
38,6/9/25 11:17:15,6/9/25 11:36:22,anonymous,,,Male ,40-50,Less than 5 years,4. Agree,4. Agree,3. Neutral,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,3. Neutral,4. Satisfied,3. Neutral,4. Satisfied,,4. Satisfied,4. Satisfied,3. Neutral,4. Satisfied,3. Neutral,4. Satisfied,Training and renumerations,Yes,,4. Satisfied,4. Satisfied,3. Neutral,4. Satisfied,2. Dissatisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,No,,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,2. Dissatisfied,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,2. Disagree,3. Neither Agree nor Disagree,Yes,There's a room for change and development ,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,Management and administration ,No,,Prior planning and sustainability short plans ,5. Always,5. Always,5. Always,5. Always,5. Always,3. Sometimes,Yes,,,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,9
39,6/9/25 12:06:55,6/9/25 12:24:48,anonymous,,,Male ,51-60,More than 10 years,5. Strongly Agree,5. Strongly Agree,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,none,Yes,,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,No,,5. Highly satisfied,5. Highly satisfied,5. Highly satisfied,5. Highly satisfied,5. Highly satisfied,5. Highly satisfied,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,Yes,Work enviroment and the need to serve the public in my current role.,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,Leadership skills,No,,none,5. Always,5. Always,5. Always,5. Always,5. Always,5. Always,Yes,,,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,10
40,6/9/25 12:40:23,6/9/25 12:51:15,anonymous,,,Male ,40-50,Between 5 and 10 years,4. Agree,4. Agree,4. Satisfied,4. Satisfied,4. Satisfied,3. Neutral,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,2. Dissatisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,Performance management,Yes,,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,No,,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Agree,4. Agree,4. Agree,4. Agree,2. Disagree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,Yes,Attractive employee benefits,4. Agree,4. Agree,3. Neither Agree nor Disagree,4. Agree,4. Agree,4. Agree,ICT and data analytics,Yes,None,None,4. Often,4. Often,4. Often,4. Often,4. Often,4. Often,Yes,,,4. Agree,4. Agree,3. Neither Agree nor Disagree,2. Disagree,4. Agree,3. Neither Agree nor Disagree,4. Agree,8
41,6/9/25 12:51:42,6/9/25 13:02:42,anonymous,,,Male ,30-39,Between 5 and 10 years,5. Strongly Agree,5. Strongly Agree,4. Satisfied,2. Dissatisfied,3. Neutral,4. Satisfied,5. Highly Satisfied,4. Satisfied,2. Dissatisfied,5. Highly Satisfied,3. Neutral,3. Neutral,4. Satisfied,3. Neutral,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,Fair administration of policies ,Yes,,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,Yes,Integration of the systems and adequate data analytics,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,Yes,Challenging tasks and benefits package ,5. Strongly Agree,5. Strongly Agree,2. Disagree,3. Neither Agree nor Disagree,4. Agree,4. Agree,Data analytics and Sustainability Risk Assessment ,No,,Predictability of career growth path,5. Always,5. Always,5. Always,5. Always,5. Always,5. Always,Yes,,,5. Strongly Agree,5. Strongly Agree,4. Agree,3. Neither Agree nor Disagree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,7
42,6/9/25 12:52:14,6/9/25 13:08:24,anonymous,,,Male ,30-39,More than 10 years,4. Agree,5. Strongly Agree,4. Satisfied,5. Highly Satisfied,4. Satisfied,3. Neutral,4. Satisfied,5. Highly Satisfied,2. Dissatisfied,4. Satisfied,4. Satisfied,3. Neutral,3. Neutral,3. Neutral,4. Satisfied,2. Dissatisfied,4. Satisfied,5. Highly Satisfied,3. Neutral,Fairness in application of policies and more training opportunities. The regulator's should be more empowered to oveesight a very dynamic sector. Fair distribution of work ,Yes,,3. Neutral,2. Dissatisfied,4. Satisfied,2. Dissatisfied,3. Neutral,4. Satisfied,4. Satisfied,2. Dissatisfied,2. Dissatisfied,No,,4. Satisfied,2. Dissatisfied,4. Satisfied,2. Dissatisfied,3. Neutral,4. Satisfied,4. Agree,4. Agree,4. Agree,4. Agree,2. Disagree,3. Neither Agree nor Disagree,2. Disagree,Yes,A positive culture,4. Agree,5. Strongly Agree,2. Disagree,4. Agree,2. Disagree,2. Disagree,"Data analytics, ICT, Communication ",Yes,"Legal reviews, leadership and delegation of work ",Effective communication and level of motivation and accountability by other staff ,2. Rarely,3. Sometimes,3. Sometimes,2. Rarely,2. Rarely,3. Sometimes,Yes,,,4. Agree,4. Agree,4. Agree,3. Neither Agree nor Disagree,2. Disagree,4. Agree,3. Neither Agree nor Disagree,8
43,6/9/25 13:15:04,6/9/25 13:24:00,anonymous,,,Male ,40-50,More than 10 years,5. Strongly Agree,5. Strongly Agree,3. Neutral,5. Highly Satisfied,3. Neutral,5. Highly Satisfied,2. Dissatisfied,5. Highly Satisfied,4. Satisfied,5. Highly Satisfied,5. Highly Satisfied,3. Neutral,2. Dissatisfied,3. Neutral,3. Neutral,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,1. reduce tribalism 2.Allow fairness on trainings some staff attend international training while others dont,Yes,,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,,Yes,none,5. Highly satisfied,5. Highly satisfied,5. Highly satisfied,5. Highly satisfied,5. Highly satisfied,5. Highly satisfied,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,4. Agree,4. Agree,Yes,good working conditions,4. Agree,4. Agree,4. Agree,3. Neither Agree nor Disagree,2. Disagree,4. Agree,data analysis,No,,nopne,3. Sometimes,3. Sometimes,4. Often,4. Often,4. Often,4. Often,Yes,,,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,1. Strongly Disagree,7
44,6/9/25 13:46:00,6/9/25 13:53:58,anonymous,,,Male ,51-60,Less than 5 years,5. Strongly Agree,4. Agree,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,4. Satisfied,,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,4. Satisfied,3. Neutral,2. Dissatisfied,4. Satisfied,Medical provision benefits,Yes,,5. Highly Satisfied,4. Satisfied,4. Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,4. Satisfied,No,,4. Satisfied,4. Satisfied,5. Highly satisfied,5. Highly satisfied,4. Satisfied,5. Highly satisfied,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,Yes,"Working environment, supportive  CEO and BOD ",5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,"ERP utilities skills
CRM",No,,INADEQUATE TRANSPORT,5. Always,4. Often,5. Always,5. Always,5. Always,5. Always,Yes,,,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,10
45,6/9/25 14:14:06,6/9/25 14:49:09,anonymous,,,Male ,51-60,More than 10 years,5. Strongly Agree,5. Strongly Agree,4. Satisfied,4. Satisfied,2. Dissatisfied,5. Highly Satisfied,4. Satisfied,5. Highly Satisfied,4. Satisfied,5. Highly Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,3. Neutral,2. Dissatisfied,4. Satisfied,4. Satisfied,4. Satisfied,Transparency and teamwork,Yes,,4. Satisfied,4. Satisfied,4. Satisfied,5. Highly Satisfied,5. Highly Satisfied,5. Highly Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,Yes,Network connectivity,5. Highly satisfied,4. Satisfied,4. Satisfied,4. Satisfied,5. Highly satisfied,4. Satisfied,5. Strongly Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,3. Neither Agree nor Disagree,4. Agree,Yes,Reliability in payment of salary and benefits,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,4. Agree,4. Agree,None,No,,Prompt communication,5. Always,5. Always,5. Always,5. Always,5. Always,4. Often,Yes,,,5. Strongly Agree,5. Strongly Agree,4. Agree,2. Disagree,3. Neither Agree nor Disagree,4. Agree,3. Neither Agree nor Disagree,8
46,6/9/25 14:33:51,6/9/25 14:52:23,anonymous,,,Male ,30-39,Less than 5 years,4. Agree,5. Strongly Agree,3. Neutral,3. Neutral,4. Satisfied,3. Neutral,4. Satisfied,3. Neutral,3. Neutral,3. Neutral,4. Satisfied,3. Neutral,3. Neutral,3. Neutral,4. Satisfied,2. Dissatisfied,2. Dissatisfied,3. Neutral,3. Neutral,Teamwork and cooperation,Yes,,4. Satisfied,3. Neutral,4. Satisfied,4. Satisfied,3. Neutral,4. Satisfied,3. Neutral,4. Satisfied,3. Neutral,No,,4. Satisfied,3. Neutral,3. Neutral,3. Neutral,3. Neutral,3. Neutral,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,Yes,Diversity in growth,5. Strongly Agree,5. Strongly Agree,4. Agree,4. Agree,3. Neither Agree nor Disagree,5. Strongly Agree,Literacy in Pension matters,No,,N/A,4. Often,4. Often,4. Often,5. Always,5. Always,4. Often,Yes,,,4. Agree,4. Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,9
47,6/9/25 16:13:47,6/9/25 16:32:31,anonymous,,,Female,40-50,More than 10 years,4. Agree,4. Agree,4. Satisfied,4. Satisfied,5. Highly Satisfied,4. Satisfied,5. Highly Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,3. Neutral,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,training,Yes,,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,5. Highly Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,No,,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,5. Strongly Agree,5. Strongly Agree,4. Agree,3. Neither Agree nor Disagree,4. Agree,4. Agree,4. Agree,Yes,teamwork,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,computer /AI,Yes,n/a,family,5. Always,5. Always,5. Always,5. Always,5. Always,5. Always,Yes,,,5. Strongly Agree,4. Agree,4. Agree,4. Agree,5. Strongly Agree,4. Agree,5. Strongly Agree,10
48,6/9/25 16:31:50,6/9/25 16:56:32,anonymous,,,Male ,51-60,More than 10 years,4. Agree,4. Agree,4. Satisfied,2. Dissatisfied,3. Neutral,4. Satisfied,5. Highly Satisfied,4. Satisfied,3. Neutral,4. Satisfied,3. Neutral,3. Neutral,3. Neutral,3. Neutral,3. Neutral,4. Satisfied,5. Highly Satisfied,5. Highly Satisfied,4. Satisfied,Organisational information sharing.,Yes,,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,No,,4. Satisfied,4. Satisfied,4. Satisfied,4. Satisfied,3. Neutral,4. Satisfied,4. Agree,4. Agree,4. Agree,5. Strongly Agree,4. Agree,3. Neither Agree nor Disagree,4. Agree,Yes,,4. Agree,4. Agree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,None.,No,,None.,5. Always,5. Always,5. Always,5. Always,5. Always,5. Always,Yes,,,4. Agree,4. Agree,4. Agree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,3. Neither Agree nor Disagree,9
