Ref,Status,Design ,Type ,Mode,2024_Outstanding Benefits-RiskScore,2024_Membership, 2024_Total Net Assets , 2024_ExpensesToTotalAssets Ratio ,2024_Liquidity Ratio,2024_Overall Risk Score,2024_ReturnOn Investment,2024_UnremmittedContributions/Total Assets,2024_Compliance toTable G,2024_Inflation,2024_interest_rates,2024_exchange_rates,2023_Outstanding Benefits-RiskScore,2023_Membership,2023_Total Net Assets,2023_ExpensesTo TotalAssets Ratio,2023_Liquidity Ratio,2023_Overall Risk Score,2023_ReturnOn Investment,2023_UnremmittedContributions/Total Assets,2023_Compliance toTable G,2023_Inflation,2023_interest_rates,2023_exchange_rates,2022_Outstanding Benefits-RiskScore,2022_Membership,2022_Total Net Assets,2022_ExpensesTo TotalAssets Ratio,2022_Liquidity Ratio,2022_Overall Risk Score,2022_ReturnOn Investment,2022_UnremmittedContributions/Total Assets,2022_Compliance toTable G,2022_Inflation,2022_interest_rates,2022_exchange_rates,2021_Outstanding Benefits-RiskScore,2021_Membership,2021_Total Net Assets,2021_ExpensesTo TotalAssets Ratio,2021_Liquidity Ratio,2021_Overall Risk Score,2021_ReturnOn Investment,2021_UnremmittedContributions/Total Assets,2021_Compliance toTable G,2021_Inflation,2021_interest_rates,2021_exchange_rates,2020_Membership,2020_Total Net Assets,2020_ExpensesTo TotalAssets Ratio,2020_Liquidity Ratio,2020_ReturnOn Investment,2020_UnremmittedContributions/Total Assets,2020_Inflation,2020_interest_rates,2020_exchange_rates,2019_Membership,2019_Total Net Assets,2019_ExpensesTo TotalAssets Ratio,2019_Liquidity Ratio,2019_ReturnOn Investment,2019_UnremmittedContributions/Total Assets,2019_Inflation,2019_interest_rates,2019_exchange_rates,2018_Membership,2018_Total Net Assets,2018_ExpensesTo TotalAssets Ratio,2018_Liquidity Ratio,2018_ReturnOn Investment,2018_UnremmittedContributions/Total Assets,2018_Inflation,2018_interest_rates,2018_exchange_rates,2017_Membership,2017_Total Net Assets,2017_ExpensesTo TotalAssets Ratio,2017_Liquidity Ratio,2017_ReturnOn Investment,2017_UnremmittedContributions/Total Assets,2017_Inflation,2017_interest_rates,2017_exchange_rates,2016_Membership,2016_Total Net Assets,2016_ExpensesTo TotalAssets Ratio,2016_Liquidity Ratio,2016_ReturnOn Investment,2016_UnremmittedContributions/Total Assets,2016_Inflation,2016_interest_rates,2016_exchange_rates,2015_Membership,2015_Total Net Assets,2015_ExpensesTo TotalAssets Ratio,2015_Liquidity Ratio,2015_ReturnOn Investment,2015_UnremmittedContributions/Total Assets,2015_Inflation,2015_interest_rates,2015_exchange_rates,2014_Membership,2014_Total Net Assets,2014_ExpensesTo TotalAssets Ratio,2014_Liquidity Ratio,2014_ReturnOn Investment,2014_UnremmittedContributions/Total Assets,2014_Inflation,2014_interest_rates,2014_exchange_rates
1865,Active,Defined Contribution,Pension Scheme,Guaranteed funds,1,274," 214,289,897 ", 0.01 ,22.05%,201%,0.103478882,0%,1,4.50%,11%,134.80,1,257,180846936,0.77%,16%,2.45,8.69%,0%,5,7%,12.50%,151.77,1,250,152447457,0%,16%,2.45,5.80%,0%,5,9.00%,8.80%,121.95,1,226,131558497,0.31%,78.24%,2.64,8.75%,0.00%,5,6.00%,7.00%,111.93,226,126106203,0.41%,50.13%,7.19%,0.00%,5.00%,7.00%,109.51,225,114702752,0.45%,52.02%,9.13%,0.00%,5.00%,8.50%,102.55,225,101767777,0.38%,33.57%,7.88%,0.00%,6.00%,9.00%,101.88,208,85092369,0.18%,17.39%,8.34%,0.00%,5.00%,10.00%,103.37,185,65374606,0.90%,53.59%,8.34%,0.00%,7%,10%,101.78,155,56720753,0.26%,24.94%,6.90%,0.00%,7%,13%,103.78,129,45947034,0.26%,15.74%,9.78%,0.00%,7%,10%,101.78
1866,Active,Defined Contribution,Pension Scheme,Segregated funds,1,480," 1,554,270,296 ", 0.01 ,28.38%,304%,0.125124497,0%,1,4.50%,11%,134.80,1,516,1328258393,1.17%,30%,2.9,6.13%,0%,1,7%,12.50%,151.77,1,518,1183234500,2%,31%,2.9,2.08%,0%,1,9.00%,8.80%,121.95,1,524,1075787482,1.25%,13.95%,3.4,12.62%,0.00%,1,6.00%,7.00%,111.93,505,834971004,1.19%,-1.49%,7.17%,0.00%,5.00%,7.00%,109.51,481,673952506,1.32%,9.89%,8.46%,0.00%,5.00%,8.50%,102.55,520,540885277,1.23%,6.73%,9.79%,0.00%,6.00%,9.00%,101.88,467,382918994,1.19%,21.16%,13.27%,0.00%,5.00%,10.00%,103.37,435,290554724,1.33%,13.51%,6.60%,0.00%,7%,10%,101.78,0,224024775,1.58%,15.49%,7.09%,0.00%,7%,13%,103.78,0,162963944,1.56%,5.10%,6.50%,0.00%,7%,10%,101.78
1867,Active,Defined Contribution,Provident Fund,Guaranteed funds,1,0," 271,198,888 ", 0.00 ,37.20%,187%,0.086079317,0%,1,4.50%,11%,134.80,1,529,230696582,0.22%,38%,2.46,9.69%,0%,5,7%,12.50%,151.77,5,528,202798974,0%,13%,3.26,9.27%,0%,5,9.00%,8.80%,121.95,5,802,169908640,0.53%,14.09%,3.44,9.18%,0.00%,5,6.00%,7.00%,111.93,541,132481015,0.23%,12.46%,8.43%,0.00%,5.00%,7.00%,109.51,0,100021286,0.24%,32.66%,9.13%,0.00%,5.00%,8.50%,102.55,451,84488671,0.25%,19.90%,9.41%,0.00%,6.00%,9.00%,101.88,419,67964971,0.26%,14.56%,9.18%,0.00%,5.00%,10.00%,103.37,415,52635714,0.82%,24.77%,9.55%,0.00%,7%,10%,101.78,371,40878987,0.29%,10.54%,11.39%,0.00%,7%,13%,103.78,327,28219716,0.32%,15.16%,11.33%,2.48%,7%,10%,101.78
1868,Active,Defined Contribution,Pension Scheme,Guaranteed funds,1,1631," 2,217,160,000 ", 0.00 ,27.10%,303%,0.110801205,0%,1,4.50%,11%,134.80,1,1579,1774461000,0.49%,52%,2.59,6.18%,0%,5,7%,12.50%,151.77,1,1492,1573477000,0%,92%,2.59,7.90%,0%,5,9.00%,8.80%,121.95,1,1809,1547058000,0.50%,155.62%,2.71,10.49%,0.00%,5,6.00%,7.00%,111.93,1637,1769597000,0.48%,40.71%,5.54%,0.00%,5.00%,7.00%,109.51,1633,1549761000,0.54%,35.45%,8.62%,0.00%,5.00%,8.50%,102.55,1525,1289642000,0.67%,-47.38%,6.02%,0.00%,6.00%,9.00%,101.88,3107,2751847000,0.44%,46.64%,8.95%,0.00%,5.00%,10.00%,103.37,2152,2390968000,0.44%,28.45%,7.46%,0.00%,7%,10%,101.78,1848,1999268000,0.44%,17.86%,6.93%,0.00%,7%,13%,103.78,1686,1614085000,0.51%,17.43%,12.96%,0.00%,7%,10%,101.78
1869,Active,Defined Contribution,Pension Scheme,Guaranteed funds,1,96," 360,675,332 ", 0.00 ,47.22%,308%,0.107134715,0%,1,4.50%,11%,134.80,1,75,321544980.1,0.24%,10%,2.48,9.18%,0%,5,7%,12.50%,151.77,1,66,275190645,0%,50%,2.48,8.51%,0%,5,9.00%,8.80%,121.95,1,68,252426466,0.33%,22.97%,2.66,8.59%,0.00%,5,6.00%,7.00%,111.93,71,218999226,0.31%,32.02%,7.49%,0.00%,5.00%,7.00%,109.51,71,194344716,0.40%,6.04%,8.86%,0.00%,5.00%,8.50%,102.55,71,159112528,0.24%,1.13%,8.88%,0.00%,6.00%,9.00%,101.88,0,125370248,0.49%,5.27%,9.35%,0.00%,5.00%,10.00%,103.37,70,96239161,0.53%,18.95%,9.49%,0.00%,7%,10%,101.78,71,75076947,0.36%,4.40%,11.48%,0.00%,7%,13%,103.78,47,52116437,0.36%,22.50%,11.11%,0.00%,7%,10%,101.78
1871,Active,Defined Contribution,Pension Scheme,Guaranteed funds,1,39," 145,700,625 ", 0.00 ,4.97%,143%,0.103370751,0%,1,4.50%,11%,134.80,1,39,120423602,0.55%,5%,2.27,8.62%,0%,5,7%,12.50%,151.77,1,39,98752108,0%,3%,2.27,5.72%,0%,5,9.00%,8.80%,121.95,1,39,82125099,0.00%,1.83%,2.64,7.86%,0.00%,5,6.00%,7.00%,111.93,40,65764106,0.00%,1.00%,6.89%,0.00%,5.00%,7.00%,109.51,41,54906720,0.00%,3.30%,8.32%,0.00%,5.00%,8.50%,102.55,41,41513320,0.00%,10.96%,7.78%,0.00%,6.00%,9.00%,101.88,47,34567798,0.00%,7.36%,8.39%,0.00%,5.00%,10.00%,103.37,54,27720252,0.00%,85.56%,8.66%,0.00%,7%,10%,101.78,53,26663285,0.00%,11.62%,6.83%,0.00%,7%,13%,103.78,54,20358844,0.00%,6.86%,9.41%,0.00%,7%,10%,101.78
1872,Active,Defined Contribution,Pension Scheme,Segregated funds,1,8400," 3,453,108,332 ", 0.02 ,53.53%,335%,0.180987107,0%,1,4.50%,11%,134.80,1,8167,2932787961,2.03%,65%,3.32,2.96%,0%,1,7%,12.50%,151.77,1,7885,2773676238,2%,63%,3.34,3.18%,0%,1,9.00%,8.80%,121.95,5,7228,2619344526,1.73%,48.15%,4.19,9.89%,0.00%,1,6.00%,7.00%,111.93,7092,2277222749,1.64%,17.40%,6.95%,0.36%,5.00%,7.00%,109.51,5442,1684384097,1.72%,-16.50%,12.75%,1.35%,5.00%,8.50%,102.55,4454,1204949344,1.70%,-117.39%,3.78%,0.00%,6.00%,9.00%,101.88,1625,646810129,1.47%,-96.35%,9.61%,0.00%,5.00%,10.00%,103.37,0,300766006,1.83%,-32.17%,5.90%,0.00%,7%,10%,101.78,775,199691459,1.99%,20.44%,4.60%,0.00%,7%,13%,103.78,710,151471885,1.20%,-195.83%,5.96%,0.53%,7%,10%,101.78
1873,Active,Defined Contribution,Pension Scheme,Segregated funds,1,87826," 58,313,626,017 ", 0.07 ,25.67%,387%,0.163152532,7%,5,4.50%,11%,134.80,1,86101,42443386376,7.08%,33%,3.87,3.13%,5%,1,7%,12.50%,151.77,1,77474,34843509561,6%,25%,4.06,4.10%,5%,5,9.00%,8.80%,121.95,1,61920,27388792000,3.36%,13.21%,4.22,9.15%,6.06%,1,6.00%,7.00%,111.93,57279,18924262131,10.06%,30.30%,5.16%,5.74%,5.00%,7.00%,109.51,,,,,,,,,,36125,7858929000,9.74%,23.81%,2.67%,15.74%,6.00%,9.00%,101.88,0,4753183000,8.23%,16.62%,8.03%,12.14%,5.00%,10.00%,103.37,18304,2089239000,9.28%,18.41%,6.64%,6.47%,7%,10%,101.78,,,,,,,,,,,,,,,,,,
1874,Active,Defined Contribution,Pension Scheme,Guaranteed funds,1,78," 236,348,101 ", 0.00 ,16.12%,202%,0.106350163,0%,1,4.50%,11%,134.80,1,91,206341863,0.44%,42%,2.31,9.28%,0%,5,7%,12.50%,151.77,1,76,190288328,0%,11%,2.31,5.96%,0%,5,9.00%,8.80%,121.95,1,76,168839148,0.70%,16.26%,2.64,8.11%,0.00%,5,6.00%,7.00%,111.93,79,144537294,0.58%,37.57%,7.25%,0.00%,5.00%,7.00%,109.51,0,131002852,0.70%,43.16%,9.45%,0.00%,5.00%,8.50%,102.55,85,117673164,0.77%,55.22%,8.35%,0.00%,6.00%,9.00%,101.88,116,107886456,0.74%,24.19%,8.95%,0.00%,5.00%,10.00%,103.37,119,91869035,0.79%,8.36%,7.76%,0.00%,7%,10%,101.78,111,73608583,1.44%,18.79%,7.09%,0.00%,7%,13%,103.78,116,57655588,0.88%,26.72%,9.63%,0.00%,7%,10%,101.78
1875,Active,Defined Contribution,Provident Fund,Guaranteed funds,1,43," 107,493,754 ", 0.00 ,17.70%,165%,0.105264842,0%,1,4.50%,11%,134.80,1,44,92462196,0.29%,37%,2.57,8.97%,0%,5,7%,12.50%,151.77,1,44,82962763,0%,60%,2.73,6.00%,0%,5,9.00%,8.80%,121.95,1,49,78320823,0.20%,3.65%,2.68,8.10%,0.00%,5,6.00%,7.00%,111.93,47,65651014,0.20%,21.59%,7.18%,0.00%,5.00%,7.00%,109.51,44,56638579,0.20%,23.67%,8.98%,0.00%,5.00%,8.50%,102.55,37,48868847,0.26%,29.26%,7.94%,0.00%,6.00%,9.00%,101.88,42,42999835,0.20%,10.18%,8.75%,0.00%,5.00%,10.00%,103.37,41,36094550,0.20%,11.55%,7.89%,0.00%,7%,10%,101.78,0,30373080,0.19%,1.46%,7.11%,0.00%,7%,13%,103.78,0,24735426,0.20%,409.29%,12.08%,0.00%,7%,10%,101.78
1877,Active,Defined Contribution,Pension Scheme,Guaranteed funds,1,796," 1,421,589,424 ", 0.01 ,33.56%,285%,0.106689054,1%,1,4.50%,11%,134.80,1,800,1264517064,0.72%,36%,3.09,8.97%,1%,5,7%,12.50%,151.77,1,831,1138242764,1%,50%,2.37,5.97%,0%,5,9.00%,8.80%,121.95,1,918,1061505122,0.70%,33.46%,2.64,8.32%,0.00%,5,6.00%,7.00%,111.93,775,947844699,0.63%,26.17%,7.16%,0.00%,5.00%,7.00%,109.51,793,834715783,0.60%,16.98%,12.88%,0.00%,5.00%,8.50%,102.55,771,676003377,0.65%,17.04%,6.95%,0.00%,6.00%,9.00%,101.88,787,571004589,0.61%,12.75%,7.33%,0.00%,5.00%,10.00%,103.37,802,467380413,0.65%,7.99%,6.36%,0.00%,7%,10%,101.78,896,370523872,0.64%,7.35%,5.30%,20.89%,7%,13%,103.78,1003,281744658,1.04%,8.30%,4.58%,37.45%,7%,10%,101.78
1879,Active,Defined Contribution,Pension Scheme,Segregated funds,5,473," 1,168,052,509 ", 0.01 ,64.62%,335%,0.125833077,0%,1,4.50%,11%,134.80,5,411,1089581701,1.14%,66%,3.4,6.48%,2%,1,7%,12.50%,151.77,1,434,1041891616,1%,140%,2.92,2.18%,0%,1,9.00%,8.80%,121.95,1,454,1077814563,0.98%,32.73%,2.9,13.13%,0.00%,1,6.00%,7.00%,111.93,468,937352903,1.08%,61.12%,8.14%,0.60%,5.00%,7.00%,109.51,468,880856286,1.11%,65.30%,9.85%,0.00%,5.00%,8.50%,102.55,0,828123195,1.18%,-409.63%,13.17%,0.00%,6.00%,9.00%,101.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880,Active,Defined Contribution,Pension Scheme,Segregated funds,1,445," 3,418,627,705 ", 0.01 ,29.10%,317%,0.126727871,0%,1,4.50%,11%,134.80,1,441,2989604146,0.82%,35%,2.42,8.31%,0%,1,7%,12.50%,151.77,1,449,2717591325,1%,105%,2.35,-0.45%,0%,1,9.00%,8.80%,121.95,5,431,2725445512,0.84%,56.36%,3.35,14.44%,0.00%,1,6.00%,7.00%,111.93,448,2484431990,0.74%,49.22%,7.35%,0.00%,5.00%,7.00%,109.51,454,2309868253,0.89%,44.78%,7.55%,0.00%,5.00%,8.50%,102.55,457,2123964763,0.82%,20.99%,11.45%,0.00%,6.00%,9.00%,101.88,439,1806426744,1.14%,-43.75%,10.54%,0.00%,5.00%,10.00%,103.37,421,1319505457,1.16%,45.82%,3.06%,0.00%,7%,10%,101.78,376,1222913359,1.16%,15.54%,8.00%,0.00%,7%,13%,103.78,383,1040584756,1.13%,11.89%,12.23%,0.00%,7%,10%,101.78
1881,Active,Defined Contribution,Provident Fund,Segregated funds,5,1784," 329,886,683 ", 0.01 ,37.74%,412%,0.063190387,33%,5,4.50%,11%,134.80,5,1603,316907506,0.91%,28%,4.25,16.93%,34%,5,7%,12.50%,151.77,5,1685,278041445,1%,-764%,4.17,-0.86%,39%,5,9.00%,8.80%,121.95,5,0,298710191,1.32%,122.00%,4.28,8.75%,36.18%,5,6.00%,7.00%,111.93,1728,304461553,1.36%,235.17%,2.80%,35.50%,5.00%,7.00%,109.51,0,315998044,1.54%,1114.69%,2.31%,34.20%,5.00%,8.50%,102.55,0,389937454,1.35%,91.10%,11.24%,0.00%,6.00%,9.00%,101.88,1981,383055409,1.31%,48.27%,9.47%,28.87%,5.00%,10.00%,103.37,0,324438223,1.52%,41.18%,0.55%,12.57%,7%,10%,101.78,0,266717642,1.63%,12.79%,6.55%,0.00%,7%,13%,103.78,1748,177922148,1.82%,9.83%,8.41%,0.00%,7%,10%,101.78
1882,Active,Defined Contribution,Pension Scheme,Segregated funds,1,167," 790,263,682 ", 0.01 ,24.14%,316%,0.192019176,0%,1,4.50%,11%,134.80,1,183,636681908,1.00%,115%,2.38,1.18%,0%,1,7%,12.50%,151.77,1,200,644262997,1%,178%,2.17,-0.21%,0%,1,9.00%,8.80%,121.95,1,200,675573963,0.94%,56.38%,2.51,11.75%,0.00%,1,6.00%,7.00%,111.93,191,621515062,0.99%,73.54%,7.76%,0.00%,5.00%,7.00%,109.51,210,596117858,1.20%,44.32%,15.73%,0.00%,5.00%,8.50%,102.55,222,514332878,0.97%,43.53%,3.48%,0.00%,6.00%,9.00%,101.88,236,470811835,0.95%,13.28%,15.67%,0.00%,5.00%,10.00%,103.37,241,358096794,1.08%,19.22%,6.39%,0.00%,7%,10%,101.78,0,0,0.00%,0.00%,0.00%,0.00%,7%,13%,103.78,,,,,,,,,
1883,Active,Defined Contribution,Pension Scheme,Segregated funds,1,1333," 3,864,891,291 ", 0.01 ,33.99%,289%,0.217605667,0%,1,4.50%,11%,134.80,1,1122,3025241200,1.34%,109%,2.96,-0.01%,0%,1,7%,12.50%,151.77,1,1107,3062206500,1%,74%,2.66,3.89%,0%,1,9.00%,8.80%,121.95,1,1326,2922030139,1.11%,44.93%,3.05,8.47%,0.00%,1,6.00%,7.00%,111.93,1414,2552802492,1.08%,36.19%,6.51%,0.00%,5.00%,7.00%,109.51,2143,2173610142,1.27%,25.28%,13.09%,0.00%,5.00%,8.50%,102.55,1925,1621438552,1.24%,25.00%,1.30%,0.00%,6.00%,9.00%,101.88,2097,1237730518,1.25%,28.62%,10.80%,0.00%,5.00%,10.00%,103.37,2260,1027224695,1.06%,18.25%,5.25%,0.00%,7%,10%,101.78,2366,850275005.8,1.20%,11.32%,6.36%,0.00%,7%,13%,103.78,,,,,,,,,
1884,Active,Defined Contribution,Pension Scheme,Segregated funds,1,0," 1,571,779,984 ", 0.01 ,21.64%,397%,0.12145997,15%,1,4.50%,11%,134.80,1,0,1341885748,1.12%,47%,3.64,4.26%,25%,1,7%,12.50%,151.77,1,0,1256188132,1%,62%,3.19,1.69%,27%,1,9.00%,8.80%,121.95,5,0,1208616478,0.36%,15.95%,3.4,10.53%,4.43%,1,6.00%,7.00%,111.93,0,1022959088,0.18%,-665.09%,5.89%,10.76%,5.00%,7.00%,109.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1885,Active,Defined Contribution,Pension Scheme,Segregated funds,5,5236," 8,026,504,771 ", 0.01 ,10.84%,282%,0.095851065,0%,1,4.50%,11%,134.80,5,5085,6557928707,0.98%,16%,3.66,4.35%,0%,1,7%,12.50%,151.77,5,4819,5663894933,1%,15%,2.96,0.69%,0%,1,9.00%,8.80%,121.95,5,4637,5067623613,0.93%,5.88%,4,11.72%,0.00%,1,6.00%,7.00%,111.93,4124,3951083026,0.87%,8.89%,5.23%,0.00%,5.00%,7.00%,109.51,4075,3316867680,0.96%,9.04%,5.09%,0.00%,5.00%,8.50%,102.55,,,,,,,,,,3610,2147529725,1.47%,7.66%,10.97%,0.00%,5.00%,10.00%,103.37,3448,1602641515,1.23%,6.92%,6.33%,0.00%,7%,10%,101.78,3343,1203957624,1.30%,143.70%,7.46%,0.00%,7%,13%,103.78,0,0,0.00%,0.00%,0.00%,0.00%,7%,10%,101.78
1886,Active,Defined Contribution,Pension Scheme,Segregated funds,5,2155," 7,399,808,854 ", 0.01 ,22.87%,369%,0.10758422,0%,1,4.50%,11%,134.80,5,1936,6173054369,0.75%,39%,2.94,8.36%,0%,1,7%,12.50%,151.77,5,1948,5508625690,1%,2298%,2.84,-9.53%,0%,1,9.00%,8.80%,121.95,1,2011,5813138385,0.74%,16.77%,2.68,13.35%,0.00%,5,6.00%,7.00%,111.93,2036,4744807971,0.70%,26.87%,6.36%,0.00%,5.00%,7.00%,109.51,2018,4128985319,0.78%,22.31%,7.62%,0.00%,5.00%,8.50%,102.55,2067,3462731013,0.71%,16.85%,10.16%,0.00%,6.00%,9.00%,101.88,2105,2777723885,0.72%,17.43%,11.36%,0.00%,5.00%,10.00%,103.37,1917,2145097495,0.73%,14.35%,3.85%,0.00%,7%,10%,101.78,0,1689854183,0.86%,25.44%,7.89%,0.00%,7%,13%,103.78,1769,1285657212,0.75%,-144.78%,12.37%,0.00%,7%,10%,101.78
1887,Active,Defined Contribution,Pension Scheme,Guaranteed funds,1,2963," 1,537,347,448 ", 0.00 ,45.18%,282%,0.121550846,1%,1,4.50%,11%,134.80,1,2715,1322935504,0.16%,47%,3.06,1.85%,2%,5,7%,12.50%,151.77,1,2539,1208090746,0%,40%,3.06,7.15%,0%,5,9.00%,8.80%,121.95,1,2643,1046882327,0.17%,41.40%,3.44,6.14%,0.37%,5,6.00%,7.00%,111.93,2508,918729102,0.18%,34.35%,5.40%,0.89%,5.00%,7.00%,109.51,2354,793183811,0.18%,17.86%,7.39%,2.53%,5.00%,8.50%,102.55,1456,613406866,0.20%,-90.49%,3.35%,3.67%,6.00%,9.00%,101.88,2383,327606588,0.20%,-0.39%,7.98%,5.65%,5.00%,10.00%,103.37,1116,229074429,0.20%,15.81%,19.00%,1.42%,7%,10%,101.78,1672,122896825,0.20%,21.63%,3.57%,0.00%,7%,13%,103.78,0,0,0.00%,0.00%,0.00%,0.00%,7%,10%,101.78
1888,Active,Defined Contribution,Pension Scheme,Guaranteed funds,1,22," 36,273,637 ", 0.00 ,290.87%,398%,0.062034805,51%,1,4.50%,11%,134.80,1,22,40568696,0.34%,131%,4.24,4.77%,46%,5,7%,12.50%,151.77,1,22,41166786,1%,521%,4.24,4.14%,45%,5,9.00%,8.80%,121.95,1,104,48347820,0.32%,225.62%,3.44,5.11%,31.25%,5,6.00%,7.00%,111.93,0,51453777,0.31%,177.16%,4.75%,57.87%,5.00%,7.00%,109.51,41,54572258,0.31%,57.50%,6.45%,19.04%,5.00%,8.50%,102.55,47,48283389,0.32%,51.98%,7.11%,2.86%,6.00%,9.00%,101.88,60,42315698,0.34%,131.12%,9.49%,0.00%,5.00%,10.00%,103.37,38,45130358,0.32%,121.57%,8.74%,0.00%,7%,10%,101.78,85,48244902,0.29%,31.26%,6.23%,0.00%,7%,13%,103.78,72,38352692,0.29%,39.86%,5.39%,7.05%,7%,10%,101.78
1889,Active,Defined Contribution,Pension Scheme,Segregated funds,5,685," 3,176,916,281 ", 0.01 ,94.67%,359%,0.118452843,0%,1,4.50%,11%,134.80,5,697,3147400791,1.11%,98%,3.79,5.88%,0%,1,7%,12.50%,151.77,5,764,3137214494,1%,80%,3.55,-0.03%,1%,1,9.00%,8.80%,121.95,5,919,3099021663,1.04%,51.01%,4.2,13.66%,0.00%,1,6.00%,7.00%,111.93,794,2798044502,1.12%,63.19%,7.94%,0.00%,5.00%,7.00%,109.51,839,2645778240,1.24%,43.11%,9.70%,0.00%,5.00%,8.50%,102.55,876,2388144220,1.31%,20.71%,11.14%,0.00%,6.00%,9.00%,101.88,917,2023426242,1.36%,27.42%,13.12%,0.00%,5.00%,10.00%,103.37,934,1694171930,1.38%,26.49%,4.98%,0.00%,7%,10%,101.78,0,1521546924,0.84%,30.53%,9.14%,0.00%,7%,13%,103.78,934,1360199967,1.31%,-32.69%,9.87%,0.00%,7%,10%,101.78
189,Active,Defined Contribution,Pension Scheme,Guaranteed funds,1,1764," 2,203,205,032 ", 0.01 ,16.37%,201%,0.111800534,0%,1,4.50%,11%,134.80,1,1486,1852920003,0.65%,17%,2.25,6.38%,0%,5,7%,12.50%,151.77,1,1235,1644277175,1%,30%,2.43,7.67%,0%,5,9.00%,8.80%,121.95,1,945,1468756601,0.67%,37.54%,2.71,8.98%,0.00%,5,6.00%,7.00%,111.93,1296,1312573762,0.62%,25.33%,5.51%,0.00%,5.00%,7.00%,109.51,1309,1184735858,0.80%,18.91%,8.74%,0.00%,5.00%,8.50%,102.55,1298,1017398316,0.96%,24.50%,5.46%,0.00%,6.00%,9.00%,101.88,1294,895017066,0.94%,16.96%,7.80%,0.00%,5.00%,10.00%,103.37,1303,756652509,0.98%,23.45%,4.59%,0.00%,7%,10%,101.78,1190,671718958,0.93%,23.96%,3.26%,0.00%,7%,13%,103.78,1365,594015887,0.83%,25.65%,6.86%,0.00%,7%,10%,101.78
1890,Active,Defined Contribution,Provident Fund,Both Segregated and Guaranteed funds,5,172," 573,341,079 ", 0.02 ,23.54%,404%,0.182791518,0%,1,4.50%,11%,134.80,1,172,458946796,1.80%,47%,3.28,2.46%,0%,1,7%,12.50%,151.77,1,178,432762173,2%,92%,3.36,3.90%,0%,1,9.00%,8.80%,121.95,1,159,428376782,2.74%,82.41%,3.48,10.32%,0.00%,1,6.00%,7.00%,111.93,163,414995487,2.25%,188.01%,3.19%,0.00%,5.00%,7.00%,109.51,176,454593981,2.51%,43.96%,11.69%,0.00%,5.00%,8.50%,102.55,175,406297503,2.40%,92.43%,2.51%,0.00%,6.00%,9.00%,101.88,184,403003568,2.16%,21.69%,14.01%,0.00%,5.00%,10.00%,103.37,187,334055023,2.20%,26.00%,5.99%,0.00%,7%,10%,101.78,,,,,,,,,,,,,,,,,,
1891,Active,Defined Contribution,Pension Scheme,Guaranteed funds,1,39," 78,847,652 ", 0.01 ,18.07%,244%,0.084332759,0%,1,4.50%,11%,134.80,1,40,65151126,0.83%,11%,3.36,5.58%,0%,5,7%,12.50%,151.77,1,43,53195127,1%,33%,3.28,7.72%,0%,5,9.00%,8.80%,121.95,1,46,44179508,1.40%,7.98%,3.52,5.52%,0.00%,5,6.00%,7.00%,111.93,40,26638946,0.77%,-323.14%,7.65%,0.00%,5.00%,7.00%,109.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1892,Active,Defined Contribution,Pension Scheme,Guaranteed funds,1,67," 205,331,291 ", 0.00 ,22.50%,222%,0.112308328,0%,1,4.50%,11%,134.80,1,70,173585437,0.55%,11%,2.56,6.25%,0%,5,7%,12.50%,151.77,1,63,146999146,0%,42%,2.56,7.51%,0%,5,9.00%,8.80%,121.95,1,67,129944443,0.66%,22.15%,2.64,8.30%,0.00%,5,6.00%,7.00%,111.93,75,102882513,0.63%,29.36%,5.39%,0.00%,5.00%,7.00%,109.51,76,86755766,0.62%,26.91%,8.59%,0.00%,5.00%,8.50%,102.55,80,70652629,0.59%,17.31%,5.32%,0.00%,6.00%,9.00%,101.88,80,59065133,0.65%,12.28%,8.39%,0.00%,5.00%,10.00%,103.37,80,45781871,0.83%,5.85%,6.96%,0.00%,7%,10%,101.78,69,33409435,1.21%,7.01%,6.45%,0.00%,7%,13%,103.78,70,23309791,0.95%,7.69%,11.57%,0.00%,7%,10%,101.78
1893,Active,Defined Contribution,Pension Scheme,Segregated funds,5,0," 4,053,984,894 ", 0.02 ,24.55%,310%,0.102384999,0%,1,4.50%,11%,134.80,5,1827,3386375938,2.35%,24%,3.88,6.84%,0%,1,7%,12.50%,151.77,5,1888,2861550567,3%,30%,4.04,0.68%,1%,1,9.00%,8.80%,121.95,5,1878,2546650238,2.80%,14.36%,4.31,12.05%,1.41%,1,6.00%,7.00%,111.93,1704,1932340035,2.79%,15.26%,6.85%,3.49%,5.00%,7.00%,109.51,1493,1529277754,5.78%,19.38%,11.96%,2.00%,5.00%,8.50%,102.55,,,,,,,,,,1476,1081173786,2.26%,-174.05%,14.27%,5.65%,5.00%,10.00%,103.37,,,,,,,,,,,,,,,,,,,0,1995212454,2.27%,17.68%,11.89%,1.11%,7%,10%,101.78
