Ref,Status,Design ,Type ,Mode,2024_Outstanding Benefits-RiskScore,2024_Membership, 2024_Total Net Assets ,2024_ExpensesTo TotalAssets Ratio,2024_OUTFLOW/INFLOW - Liquidity Ratio,2024_Overall Risk Score,2024_ReturnOn Investment,2024_UnremmittedContributions/Total Assets,2024_Compliance toTable G,2024_Inflation,2024_interest_rates,2024_exchange_rates,2023_Outstanding Benefits-RiskScore,2023_Membership,2023_Total Net Assets,2023_ExpensesTo TotalAssets Ratio,2023_OUTFLOW/INFLOW - Liquidity Ratio,2023_Overall Risk Score,2023_ReturnOn Investment,2023_UnremmittedContributions/Total Assets,2023_Compliance toTable G,2023_Inflation,2023_interest_rates,2023_exchange_rates,2022_Outstanding Benefits-RiskScore,2022_Membership,2022_Total Net Assets,2022_ExpensesTo TotalAssets Ratio,2022_OUTFLOW/INFLOW - Liquidity Ratio,2022_Overall Risk Score,2022_ReturnOn Investment,2022_UnremmittedContributions/Total Assets,2022_Compliance toTable G,2022_Inflation,2022_interest_rates,2022_exchange_rates,2021_Outstanding Benefits-RiskScore,2021_Membership,2021_Total Net Assets,2021_ExpensesTo TotalAssets Ratio,2021_OUTFLOW/INFLOW - Liquidity Ratio,2021_Overall Risk Score,2021_ReturnOn Investment,2021_UnremmittedContributions/Total Assets,2021_Compliance toTable G,2021_Inflation,2021_interest_rates,2021_exchange_rates,2020_Outstanding Benefits-RiskScore,2020_Membership,2020_Total Net Assets,2020_ExpensesTo TotalAssets Ratio,2020_OUTFLOW/INFLOW - Liquidity Ratio,2020_Overall Risk Score,2020_ReturnOn Investment,2020_UnremmittedContributions/Total Assets,2020_Compliance toTable G,2020_Inflation,2020_interest_rates,2020_exchange_rates,2019_Outstanding Benefits-RiskScore,2019_Membership,2019_Total Net Assets,2019_ExpensesTo TotalAssets Ratio,2019_OUTFLOW/INFLOW - Liquidity Ratio,2019_Overall Risk Score,2019_ReturnOn Investment,2019_UnremmittedContributions/Total Assets,2019_Compliance toTable G,2019_Inflation,2019_interest_rates,2019_exchange_rates,2018_Outstanding Benefits-RiskScore,2018_Membership,2018_Total Net Assets,2018_ExpensesTo TotalAssets Ratio,2018_OUTFLOW/INFLOW - Liquidity Ratio,2018_Overall Risk Score,2018_ReturnOn Investment,2018_UnremmittedContributions/Total Assets,2018_Compliance toTable G,2018_Inflation,2018_interest_rates,2018_exchange_rates,2017_Outstanding Benefits-RiskScore,2017_Membership,2017_Total Net Assets,2017_ExpensesTo TotalAssets Ratio,2017_OUTFLOW/INFLOW - Liquidity Ratio,2017_Overall Risk Score,2017_ReturnOn Investment,2017_UnremmittedContributions/Total Assets,2017_Compliance toTable G,2017_Inflation,2017_interest_rates,2017_exchange_rates,2016_Outstanding Benefits-RiskScore,2016_Membership,2016_Total Net Assets,2016_ExpensesTo TotalAssets Ratio,2016_OUTFLOW/INFLOW - Liquidity Ratio,2016_Overall Risk Score,2016_ReturnOn Investment,2016_UnremmittedContributions/Total Assets,2016_Compliance toTable G,2016_Inflation,2016_interest_rates,2016_exchange_rates,2015_Outstanding Benefits-RiskScore,2015_Membership,2015_Total Net Assets,2015_ExpensesTo TotalAssets Ratio,2015_OUTFLOW/INFLOW - Liquidity Ratio,2015_Overall Risk Score,2015_ReturnOn Investment,2015_UnremmittedContributions/Total Assets,2015_Compliance toTable G,2015_Inflation,2015_interest_rates,2015_exchange_rates,2014_Outstanding Benefits-RiskScore,2014_Membership,2014_Total Net Assets,2014_ExpensesTo TotalAssets Ratio,2014_OUTFLOW/INFLOW - Liquidity Ratio,2014_Overall Risk Score,2014_ReturnOn Investment,2014_UnremmittedContributions/Total Assets,2014_Compliance toTable G,2014_Inflation,2014_interest_rates,2014_exchange_rates
166,Transitioning,Defined Contribution,Pension Scheme,Guaranteed funds,0,33," 4,506,672.00 ",0.91%,97%,0,12%,0%,0,5%,11%,134.8,0,36," 4,565,026.00 ",0.88%,497%,0,10%,0%,0,7%,13%,151.77,0,37," 4,202,392.00 ",1.13%,163%,0,9%,0%,0,9%,9%,121.95,0,0," 4,053,290.00 ",0.98%,73%,0,10%,0%,0,6%,7%,111.93,0,41," 4,206,495.00 ",0.19%,334%,0,8%,0%,0,5%,7%,109.51,,,,,,,,,,,,,0,44," 4,372,421.00 ",0.88%,870%,0,8%,0%,0,6%,9%,101.88,0,44," 4,077,613.00 ",0.89%,492%,0,11%,0%,0,5%,10%,103.37,0,45," 3,717,870.00 ",0.98%,198%,0,9%,0%,0,7%,10%,101.78,0,46," 3,558,894.00 ",0.78%,77%,0,8%,0%,0,7%,13%,103.78,,,,,,,,,,,,
1661,Active,Defined Contribution,Provident Fund,Guaranteed funds,1,771," 705,365,218.00 ",0.38%,243%,2.16,10%,0%,1,5%,11%,134.8,1,836," 642,458,939.00 ",0.39%,177%,3.14,9%,0%,5,7%,13%,151.77,1,836," 603,690,241.00 ",0.36%,209%,3.04,7%,0%,5,9%,9%,121.95,1,862," 573,756,695.00 ",0.37%,229%,3.44,10%,0%,5,6%,7%,111.93,0,889," 535,578,473.00 ",0.37%,105%,0,8%,0%,0,5%,7%,109.51,0,938," 533,108,518.00 ",0.38%,262%,0,9%,0%,0,5%,9%,102.55,0,62," 497,141,909.00 ",0.38%,428%,0,9%,0%,0,6%,9%,101.88,0,88," 450,047,961.00 ",0.77%,25%,0,10%,0%,0,5%,10%,103.37,0,106," 630,362,075.00 ",0.61%,88%,0,8%,1%,0,7%,10%,101.78,0,113," 639,157,799.00 ",0.57%,37%,0,6%,0%,0,7%,13%,103.78,0,101," 728,479,219.00 ",0.73%,909%,0,11%,0%,0,7%,10%,101.78
1664,Active,Defined Contribution,Pension Scheme,Guaranteed funds,1,180," 199,200,384.00 ",0.03%,257%,2.04,12%,0%,1,5%,11%,134.8,1,184," 173,367,845.00 ",0.04%,276%,2.33,2%,0%,5,7%,13%,151.77,1,174," 159,545,672.00 ",0.04%,291%,2.52,7%,0%,5,9%,9%,121.95,1,208," 140,694,241.00 ",0.05%,313%,2.64,6%,0%,5,6%,7%,111.93,0,192," 123,320,776.00 ",0.05%,384%,0,5%,0%,0,5%,7%,109.51,0,191," 105,947,081.00 ",0.06%,1543%,0,7%,1%,0,5%,9%,102.55,0,157," 83,505,769.00 ",0.08%,961%,0,3%,0%,0,6%,9%,101.88,0,161," 68,785,568.00 ",0.10%,509%,0,9%,0%,0,5%,10%,103.37,0,129," 55,898,964.00 ",0.10%,403%,0,6%,0%,0,7%,10%,101.78,0,166," 50,628,792.00 ",0.31%,186%,0,5%,1%,0,7%,13%,103.78,0,140," 47,804,335.00 ",0.69%,1227%,0,11%,0%,0,7%,10%,101.78
1666,Active,Defined Contribution,Provident Fund,Guaranteed funds,1,31," 106,281,431.00 ",0.20%,119%,2.03,12%,0%,1,5%,11%,134.8,1,32," 102,202,717.00 ",0.20%,126%,2.28,9%,0%,5,7%,13%,151.77,1,33," 97,581,440.00 ",0.20%,1430%,2.28,6%,0%,5,9%,9%,121.95,1,29," 82,987,008.00 ",0.20%,117%,2.72,9%,0%,5,6%,7%,111.93,0,33," 80,773,701.00 ",0.20%,68%,0,8%,0%,0,5%,7%,109.51,0,34," 87,626,134.00 ",0.20%,53%,0,10%,0%,0,5%,9%,102.55,0,24," 103,728,940.00 ",1.15%,151%,0,8%,0%,0,6%,9%,101.88,0,34," 97,439,511.00 ",0.20%,535%,0,9%,0%,0,5%,10%,103.37,0,24," 81,426,146.00 ",0.20%,335%,0,8%,0%,0,7%,10%,101.78,0,30," 70,038,621.00 ",0.20%,110%,0,8%,0%,0,7%,13%,103.78,0,33," 68,717,788.00 ",0.20%,228%,0,10%,0%,0,7%,10%,101.78
1668,Active,Defined Contribution,Provident Fund,Guaranteed funds,1,1090," 1,157,489,086.00 ",0.61%,166%,1.39,10%,0%,1,5%,11%,134.8,1,1055," 1,060,656,524.00 ",0.60%,175%,2.23,9%,0%,5,7%,13%,151.77,1,919," 956,637,256.00 ",0.61%,190%,2.46,7%,0%,5,9%,9%,121.95,1,890," 862,362,119.00 ",0.68%,484%,2.54,9%,0%,5,6%,7%,111.93,0,462," 698,335,637.00 ",0.70%,135%,0,6%,0%,0,5%,7%,109.51,0,313," 486,915,422.00 ",0.70%,511%,0,9%,0%,0,5%,9%,102.55,0,295," 391,206,950.00 ",0.70%,333%,0,9%,0%,0,6%,9%,101.88,0,272," 323,688,021.00 ",0.66%,489%,0,8%,0%,0,5%,10%,103.37,0,244," 255,183,984.00 ",0.68%,211%,0,7%,0%,0,7%,10%,101.78,0,223," 221,743,998.00 ",0.67%,137%,0,6%,0%,0,7%,13%,103.78,0,188," 208,014,076.00 ",0.67%,117%,0,10%,0%,0,7%,10%,101.78
1669,Active,Defined Contribution,Provident Fund,Guaranteed funds,1,163," 77,547,457.00 ",1.05%,72%,4.07,2%,84%,1,5%,11%,134.8,1,175," 78,167,416.00 ",0.94%,106%,4.16,2%,83%,5,7%,13%,151.77,1,179," 78,093,601.00 ",0.82%,41%,4.16,2%,83%,5,9%,9%,121.95,1,187," 79,927,088.00 ",0.83%,64%,3.52,2%,0%,5,6%,7%,111.93,0,200," 80,798,827.00 ",0.67%,66%,0,2%,148%,0,5%,7%,109.51,0,208," 81,551,042.00 ",0.67%,224%,0,8%,147%,0,5%,9%,102.55,0,331," 77,824,966.00 ",0.67%,16%,0,5%,159%,0,6%,9%,101.88,0,169," 98,946,612.00 ",0.54%,122%,0,10%,3%,0,5%,10%,103.37,0,149," 95,859,998.00 ",0.63%,318%,0,7%,4%,0,7%,10%,101.78,,,,,,,,,,,,,,,,,,,,,,,,
1670,Active,Defined Contribution,Provident Fund,Guaranteed funds,1,4867," 1,829,995,512.00 ",0.40%,335%,3.05,10%,0%,1,5%,11%,134.8,1,4764," 1,618,453,260.00 ",0.29%,475%,2.51,10%,0%,5,7%,13%,151.77,1,4535," 1,395,565,733.00 ",0.20%,389%,2.41,9%,0%,5,9%,9%,121.95,1,4457," 1,204,085,219.00 ",0.19%,379%,2.72,9%,0%,5,6%,7%,111.93,0,4152," 1,041,210,177.00 ",0.21%,527%,0,9%,0%,0,5%,7%,109.51,0,3945," 878,943,087.00 ",0.21%,464%,0,9%,0%,0,5%,9%,102.55,0,3759," 737,961,478.00 ",0.23%,681%,0,10%,0%,0,6%,9%,101.88,0,3539," 605,411,621.00 ",0.34%,440%,0,10%,0%,0,5%,10%,103.37,0,3368," 504,768,295.00 ",0.23%,650%,0,10%,1%,0,7%,10%,101.78,0,2991," 402,368,863.00 ",0.27%,391%,0,13%,1%,0,7%,13%,103.78,0,2982," 321,061,297.00 ",0.85%,477%,0,12%,3%,0,7%,10%,101.78
1671,Active,Defined Contribution,Provident Fund,Guaranteed funds,1,248," 75,878,885.00 ",0.57%,286%,2.04,11%,0%,1,5%,11%,134.8,1,180," 64,406,648.00 ",0.53%,135%,2.36,7%,0%,5,7%,13%,151.77,1,190," 61,566,212.00 ",0.84%,547%,2.56,7%,0%,5,9%,9%,121.95,1,228," 51,805,393.00 ",0.61%,38%,2.72,12%,0%,5,6%,7%,111.93,0,187," 72,944,432.00 ",0.51%,100%,0,6%,0%,0,5%,7%,109.51,0,176," 72,992,789.00 ",0.59%,408%,0,9%,0%,0,5%,9%,102.55,0,168," 62,015,654.00 ",0.79%,405%,0,5%,0%,0,6%,9%,101.88,0,149," 51,804,642.00 ",1.31%,768%,0,8%,0%,0,5%,10%,103.37,0,118," 40,898,350.00 ",0.63%,95%,0,8%,0%,0,7%,10%,101.78,0,103," 41,321,575.00 ",0.64%,607%,0,7%,0%,0,7%,13%,103.78,0,105," 34,242,630.00 ",0.85%,1428%,0,13%,0%,0,7%,10%,101.78
1672,Active,Defined Contribution,Pension Scheme,Guaranteed funds,1,277," 1,353,077,771.00 ",0.38%,293%,3.99,11%,0%,1,5%,11%,134.8,1,0," 1,193,569,542.00 ",0.43%,515%,2.34,9%,0%,5,7%,13%,151.77,1,297," 1,030,014,206.00 ",0.38%,382%,2.34,6%,1%,5,9%,9%,121.95,1,0," 909,981,445.00 ",0.33%,926%,2.62,8%,1%,5,6%,7%,111.93,0,320," 750,083,489.00 ",0.44%,493%,0,7%,0%,0,5%,7%,109.51,0,0," 628,272,588.00 ",0.38%,856%,0,8%,0%,0,5%,9%,102.55,0,319," 504,602,543.00 ",0.41%,1157%,0,7%,0%,0,6%,9%,101.88,0,332," 398,295,927.00 ",0.45%,1538%,0,8%,0%,0,5%,10%,103.37,0,0, -   ,0.00%,0%,0,0%,0%,0,7%,10%,101.78,,,,,,,,,,,,,0,134, -   ,0.00%,0%,0,0%,0%,0,7%,10%,101.78
1673,Active,Defined Contribution,Pension Scheme,Guaranteed funds,1,0," 4,842,344.00 ",1.88%,34%,3.32,10%,0%,1,5%,11%,134.8,1,19," 6,717,290.00 ",1.30%,30%,3.36,11%,0%,5,7%,13%,151.77,1,19," 9,218,196.00 ",0.93%,1383%,3.36,10%,0%,5,9%,9%,121.95,1,22," 8,119,244.00 ",0.96%,1359%,3.52,10%,0%,5,6%,7%,111.93,0,0," 7,140,273.00 ",0.98%,1347%,0,10%,0%,0,5%,7%,109.51,0,16," 6,270,288.00 ",0.99%,218%,0,10%,0%,0,5%,9%,102.55,0,17," 5,784,367.00 ",0.98%,1524%,0,10%,0%,0,6%,9%,101.88,0,17," 4,973,357.00 ",1.02%,1106%,0,10%,0%,0,5%,10%,103.37,0,16," 4,213,446.00 ",1.19%,124%,0,10%,2%,0,7%,10%,101.78,0,9," 4,054,331.00 ",0.85%,120%,0,13%,1%,0,7%,13%,103.78,0,17," 3,897,756.00 ",0.84%,2560%,0,13%,0%,0,7%,10%,101.78
1674,Active,Defined Contribution,Pension Scheme,Guaranteed funds,1,1122," 147,201,502.00 ",0.93%,506%,2.39,9%,0%,1,5%,11%,134.8,1,975," 118,623,137.00 ",1.19%,415%,3.28,9%,0%,5,7%,13%,151.77,1,898," 96,553,609.00 ",1.15%,195%,3.28,7%,0%,5,9%,9%,121.95,1,833," 83,407,883.00 ",1.17%,239%,2.64,8%,0%,5,6%,7%,111.93,0,687," 69,844,158.00 ",0.70%,143%,0,6%,0%,0,5%,7%,109.51,0,491," 65,137,321.00 ",1.23%,341%,0,8%,0%,0,5%,9%,102.55,0,411," 53,377,966.00 ",0.75%,994%,0,5%,0%,0,6%,9%,101.88,0,371," 42,618,685.00 ",0.52%,148%,0,7%,0%,0,5%,10%,103.37,0,0," 37,256,963.00 ",0.25%,291%,0,3%,0%,0,7%,10%,101.78,0,0," 31,169,227.00 ",0.25%,301%,0,2%,0%,0,7%,13%,103.78,0,166," 26,183,114.00 ",1.60%,338%,0,6%,0%,0,7%,10%,101.78
1675,Active,Defined Contribution,Provident Fund,Guaranteed funds,1,259," 130,317,982.00 ",0.87%,307%,2.43,11%,0%,1,5%,11%,134.8,1,49," 110,902,068.00 ",0.86%,295%,2.84,10%,0%,5,7%,13%,151.77,1,326," 96,682,266.00 ",0.90%,411%,3.32,9%,0%,5,9%,9%,121.95,1,277," 83,408,354.00 ",1.09%,78%,2.72,11%,0%,5,6%,7%,111.93,0,118," 87,576,915.00 ",0.88%,130%,0,10%,0%,0,5%,7%,109.51,0,143," 83,352,947.00 ",0.89%,328%,0,9%,0%,0,5%,9%,102.55,0,108," 67,393,931.00 ",0.93%,295%,0,9%,0%,0,6%,9%,101.88,0,78," 55,414,202.00 ",1.21%,220%,0,10%,0%,0,5%,10%,103.37,0,71," 47,851,755.00 ",1.43%,178%,0,10%,0%,0,7%,10%,101.78,0,78," 42,507,148.00 ",0.46%,43%,0,15%,0%,0,7%,13%,103.78,0,94," 60,933,503.00 ",0.45%,327%,0,10%,0%,0,7%,10%,101.78
1676,Active,Defined Contribution,Provident Fund,Segregated funds,5,3401," 9,765,770,000.00 ",0.45%,453%,4.13,22%,0%,5,5%,11%,134.8,5,3231," 7,321,533,000.00 ",0.50%,183%,3.33,3%,0%,5,7%,13%,151.77,5,2839," 6,846,506,000.00 ",0.51%,162%,3.35,3%,0%,5,9%,9%,121.95,5,2581," 6,516,360,000.00 ",0.52%,80%,3.92,11%,0%,1,6%,7%,111.93,0,2649," 6,843,529,100.00 ",1.01%,33%,0,5%,0%,0,5%,7%,109.51,0,2170," 2,760,188,092.00 ",1.37%,661%,0,13%,0%,0,5%,9%,102.55,0,1203," 2,096,176,149.00 ",1.11%,235%,0,5%,0%,0,6%,9%,101.88,0,1099," 1,881,990,685.00 ",1.44%,247%,0,14%,0%,0,5%,10%,103.37,0,1057," 1,570,022,161.00 ",1.82%,224%,0,6%,0%,0,7%,10%,101.78,0,928," 1,385,041,277.00 ",1.50%,133%,0,0%,0%,0,7%,13%,103.78,,,,,,,,,,,,
1677,Active,Defined Contribution,Provident Fund,Guaranteed funds,1,329," 824,570,556.00 ",0.00%,134%,2.2,10%,0%,1,5%,11%,134.8,1,339," 781,469,484.00 ",0.00%,350%,2.48,8%,0%,5,7%,13%,151.77,1,332," 660,544,388.00 ",0.00%,282%,2.48,9%,0%,5,9%,9%,121.95,1,0," 554,664,610.00 ",0.00%,375%,2.72,9%,0%,5,6%,7%,111.93,0,244," 448,062,827.00 ",0.00%,350%,0,9%,0%,0,5%,7%,109.51,0,105," 351,075,105.00 ",0.00%,1850%,0,6%,0%,0,5%,9%,102.55,0,120," 272,958,544.00 ",0.00%,159%,0,11%,0%,0,6%,9%,101.88,0,76," 245,698,117.00 ",0.00%,470%,0,7%,0%,0,5%,10%,103.37,0,88," 208,444,850.00 ",0.00%,475%,0,7%,0%,0,7%,10%,101.78,,,,,,,,,,,,,0,82," 140,556,283.00 ",0.00%,1674%,0,11%,0%,0,7%,10%,101.78
1678,Active,Defined Contribution,Provident Fund,Guaranteed funds,1,54," 73,577,724.00 ",0.28%,197%,3.38,11%,0%,1,5%,11%,134.8,,,,,,,,,,,,,1,57," 59,752,693.00 ",0.00%,3579%,3.62,6%,0%,5,9%,9%,121.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,61," 42,948,275.00 ",0.00%,156%,0,8%,0%,0,6%,9%,101.88,0,56," 40,842,208.00 ",0.53%,182%,0,9%,0%,0,5%,10%,103.37,0,58," 38,268,909.00 ",0.00%,159%,0,8%,0%,0,7%,10%,101.78,,,,,,,,,,,,,,,,,,,,,,,,
1679,Active,Defined Contribution,Provident Fund,Segregated funds,1,73," 10,095,073.00 ",65.54%,17%,4.01,23%,1778%,5,5%,11%,134.8,1,123," 21,052,747.00 ",34.95%,11%,4.11,13%,853%,5,7%,13%,151.77,1,78," 43,053,134.00 ",37.24%,4%,4.01,14%,417%,5,9%,9%,121.95,5,1045," 205,285,787.00 ",3.32%,-1578%,4.19,-99%,87%,5,6%,7%,111.93,0,748," 422,048,449.00 ",1.53%,14%,0,10%,41%,0,5%,7%,109.51,0,746," 705,444,149.00 ",1.14%,30%,0,3%,25%,0,5%,9%,102.55,0,869," 829,043,695.00 ",1.08%,69%,0,8%,17%,0,6%,9%,101.88,0,974," 875,421,827.00 ",0.87%,106%,0,13%,12%,0,5%,10%,103.37,0,1041," 866,919,292.00 ",1.02%,47%,0,2%,9%,0,7%,10%,101.78,0,1127," 938,465,370.00 ",0.88%,100%,0,10%,0%,0,7%,13%,103.78,0,862," 938,749,624.00 ",1.39%,145%,0,11%,3%,0,7%,10%,101.78
1680,Active,Defined Contribution,Pension Scheme,Guaranteed funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,87," 5,430,511.00 ",1.05%,20%,3.52,11%,0%,5,6%,7%,111.93,0,75," 7,818,615.00 ",0.79%,11%,0,11%,0%,0,5%,7%,109.51,0,111," 14,342,767.00 ",0.52%,31%,0,13%,0%,0,5%,9%,102.55,0,120," 18,532,873.00 ",0.45%,154%,0,9%,0%,0,6%,9%,101.88,0,176," 17,977,320.00 ",0.52%,186%,0,8%,0%,0,5%,10%,103.37,0,159," 14,741,771.00 ",0.51%,551%,0,7%,0%,0,7%,10%,101.78,0,106," 11,167,292.00 ",0.51%,360%,0,7%,0%,0,7%,13%,103.78,0,97," 9,000,511.00 ",0.59%,162%,0,10%,0%,0,7%,10%,101.78
1681,Active,Defined Contribution,Provident Fund,Guaranteed funds,1,54," 60,179,541.00 ",0.63%,709%,2.11,10%,1%,1,5%,11%,134.8,1,38," 50,168,021.00 ",0.71%,425%,2.99,9%,0%,5,7%,13%,151.77,1,38," 43,639,152.00 ",1.10%,106%,2.56,6%,0%,5,9%,9%,121.95,1,38," 43,171,543.00 ",0.88%,218%,2.64,9%,0%,5,6%,7%,111.93,0,20," 39,178,646.00 ",0.49%,3361%,0,7%,0%,0,5%,7%,109.51,0,16," 32,920,785.00 ",0.53%,417%,0,9%,0%,0,5%,9%,102.55,0,12," 28,056,630.00 ",0.66%,923%,0,8%,0%,0,6%,9%,101.88,0,17," 23,640,206.00 ",0.30%,246%,0,9%,0%,0,5%,10%,103.37,0,14," 20,850,784.00 ",0.37%,5667%,0,8%,0%,0,7%,10%,101.78,0,15," 16,603,507.00 ",1.41%,775%,0,7%,0%,0,7%,13%,103.78,0,15," 13,260,010.00 ",0.37%,618%,0,10%,0%,0,7%,10%,101.78
1683,Active,Defined Contribution,Provident Fund,Guaranteed funds,1,442," 206,720,323.00 ",0.19%,229%,1.63,9%,0%,1,5%,11%,134.8,1,242," 187,065,378.00 ",0.22%,391%,2.47,10%,0%,5,7%,13%,151.77,1,355," 163,017,948.00 ",0.23%,299%,2.56,9%,0%,5,9%,9%,121.95,1,0," 143,135,390.00 ",0.22%,4553%,2.9,93%,0%,5,6%,7%,111.93,0,265," 120,623,998.00 ",0.22%,570%,0,9%,0%,0,5%,7%,109.51,0,273," 103,171,142.00 ",0.23%,402%,0,9%,0%,0,5%,9%,102.55,0,267," 87,105,742.00 ",0.23%,426%,0,10%,0%,0,6%,9%,101.88,0,251," 72,163,924.00 ",0.41%,1151%,0,9%,0%,0,5%,10%,103.37,0,244," 57,496,636.00 ",0.25%,257%,0,10%,0%,0,7%,10%,101.78,0,222," 49,056,547.00 ",0.26%,323%,0,12%,0%,0,7%,13%,103.78,0,187," 39,742,142.00 ",0.27%,1496%,0,12%,0%,0,7%,10%,101.78
1686,Active,Defined Contribution,Provident Fund,Guaranteed funds,1,122," 133,919,369.00 ",0.65%,458%,1.55,11%,0%,1,5%,11%,134.8,1,119," 110,020,339.00 ",0.48%,413%,2.47,6%,0%,5,7%,13%,151.77,1,110," 93,678,050.00 ",0.69%,504%,2.42,7%,0%,5,9%,9%,121.95,1,86," 77,006,280.00 ",0.63%,220%,2.76,9%,0%,5,6%,7%,111.93,0,80," 66,178,163.00 ",0.58%,452%,0,5%,0%,0,5%,7%,109.51,0,78," 53,866,020.00 ",0.77%,142%,0,9%,0%,0,5%,9%,102.55,0,72," 49,966,135.00 ",0.78%,287%,0,6%,0%,0,6%,9%,101.88,0,63," 42,672,190.00 ",1.14%,426%,0,9%,0%,0,5%,10%,103.37,0,58," 34,107,296.00 ",0.55%,202%,0,8%,0%,0,7%,10%,101.78,0,60," 29,400,131.00 ",0.20%,569%,0,7%,0%,0,7%,13%,103.78,0,48," 23,343,169.00 ",0.20%,284%,0,10%,0%,0,7%,10%,101.78
1687,Active,Defined Contribution,Provident Fund,Guaranteed funds,1,362," 9,155,239,731.00 ",0.00%,225%,1.44,11%,0%,1,5%,11%,134.8,1,324," 7,772,691,926.00 ",0.00%,219%,2.46,6%,0%,5,7%,13%,151.77,1,285," 6,866,095,442.00 ",0.00%,129%,2.54,8%,0%,5,9%,9%,121.95,1,269," 6,486,916,062.00 ",0.00%,231%,2.7,9%,0%,5,6%,7%,111.93,0,249," 5,515,681,181.00 ",0.00%,152%,0,6%,0%,0,5%,7%,109.51,,,,,,,,,,,,,0,211," 3,993,254,782.00 ",0.00%,323%,0,5%,4%,0,6%,9%,101.88,0,183," 3,109,626,703.00 ",0.00%,357%,0,8%,2%,0,5%,10%,103.37,0,0," 2,349,810,882.00 ",0.00%,372%,0,7%,0%,0,7%,10%,101.78,0,0," 41,126,315.00 ",0.32%,40%,0,36%,0%,0,7%,13%,103.78,0,0," 71,486,049.00 ",0.27%,302%,0,11%,0%,0,7%,10%,101.78
1689,Active,Defined Contribution,Pension Scheme,Segregated funds,1,6363," 21,867,483,403.00 ",0.57%,464%,3,18%,0%,5,5%,11%,134.8,1,5758," 17,462,931,435.00 ",0.49%,76%,3.06,3%,0%,5,7%,13%,151.77,5,5162," 18,221,729,833.00 ",0.42%,159%,3.79,2%,0%,5,9%,9%,121.95,5,0," 17,644,574,112.00 ",0.41%,208%,4.28,9%,0%,5,6%,7%,111.93,0,5240," 16,208,529,805.00 ",0.38%,152%,0,4%,0%,0,5%,7%,109.51,0,5283," 15,658,867,112.00 ",0.42%,155%,0,8%,0%,0,5%,9%,102.55,0,5400," 14,899,747,025.00 ",0.41%,136%,0,4%,0%,0,6%,9%,101.88,0,5411," 14,571,840,662.00 ",0.44%,67%,0,13%,0%,0,5%,10%,103.37,0,5365," 16,039,429,339.00 ",0.91%,412%,0,8%,0%,0,7%,10%,101.78,0,4906," 14,271,551,206.00 ",0.43%,247%,0,2%,0%,0,7%,13%,103.78,,,,,,,,,,,,
169,Active,Defined Contribution,Pension Scheme,Guaranteed funds,1,1133," 497,461,255.00 ",0.52%,281%,3.03,12%,0%,1,5%,11%,134.8,1,1117," 443,021,122.00 ",0.54%,214%,2.48,10%,0%,5,7%,13%,151.77,5,1117," 408,494,552.00 ",0.56%,220%,3.36,10%,0%,5,9%,9%,121.95,1,941," 373,092,483.00 ",0.50%,342%,2.8,9%,0%,5,6%,7%,111.93,0,975," 331,185,766.00 ",0.22%,143%,0,8%,0%,0,5%,7%,109.51,0,996," 315,253,163.00 ",0.00%,139%,0,9%,0%,0,5%,9%,102.55,0,0," 299,834,126.00 ",0.24%,254%,0,7%,0%,0,6%,9%,101.88,0,1011," 269,718,011.00 ",0.23%,386%,0,10%,0%,0,5%,10%,103.37,0,961," 229,844,165.00 ",0.23%,411%,0,8%,0%,0,7%,10%,101.78,0,925," 196,246,997.00 ",0.24%,412%,0,7%,0%,0,7%,13%,103.78,0,837," 166,957,887.00 ",0.24%,634%,0,10%,0%,0,7%,10%,101.78
1690,Active,Defined Contribution,Pension Scheme,Guaranteed funds,1,43," 27,238,739.00 ",0.90%,56%,2.88,10%,0%,1,5%,11%,134.8,1,47," 28,566,607.00 ",1.24%,21%,3.14,10%,0%,5,7%,13%,151.77,1,110," 42,520,798.00 ",1.86%,61%,3.14,8%,0%,5,9%,9%,121.95,1,123," 45,358,556.00 ",0.76%,84%,3.44,10%,0%,5,6%,7%,111.93,0,103," 46,481,800.00 ",0.81%,56%,0,8%,0%,0,5%,7%,109.51,0,193," 50,286,419.00 ",0.88%,192%,0,9%,0%,0,5%,9%,102.55,0,201," 47,424,844.00 ",0.76%,147%,0,9%,0%,0,6%,9%,101.88,0,0," 45,589,332.00 ",0.73%,68%,0,10%,0%,0,5%,10%,103.37,0,0," 48,482,437.00 ",1.58%,362%,0,7%,0%,0,7%,10%,101.78,0,0," 44,654,518.00 ",0.69%,149%,0,6%,3%,0,7%,13%,103.78,0,0," 43,245,950.00 ",0.76%,1541%,0,11%,0%,0,7%,10%,101.78
